k,wavelet_degree,AUC,AUPR,f1,lr
5,2,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
5,2,0.9646182495344506,0.8052910074442481,0.6666666666666666,0.01
5,2,0.9667464751263634,0.8391052426641399,0.7619047619047619,0.001
5,2,0.9664804469273743,0.8387130858013949,0.7619047619047619,0.0001
10,2,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
10,2,0.9654163341314179,0.8137528621032728,0.6666666666666666,0.01
10,2,0.9686086725192871,0.8417762522749255,0.7619047619047619,0.001
10,2,0.9659483905293962,0.8371498342381434,0.7619047619047619,0.0001
15,2,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
15,2,0.971534982708167,0.8662139995306823,0.7619047619047619,0.01
15,2,0.9664804469273743,0.8378023506135488,0.7619047619047619,0.001
15,2,0.9670125033253525,0.8401297428553072,0.7619047619047619,0.0001
20,2,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
20,2,0.9614259111465815,0.8183937715683343,0.7619047619047619,0.01
20,2,0.9670125033253524,0.8395134059294461,0.7619047619047619,0.001
20,2,0.9662144187283852,0.8376422871115485,0.7619047619047619,0.0001
25,2,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
25,2,0.9710029263101889,0.8629340343926879,0.8095238095238095,0.01
25,2,0.9662144187283852,0.8377319647792343,0.7619047619047619,0.001
25,2,0.9670125033253524,0.838909358813771,0.7619047619047619,0.0001
30,2,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
30,2,0.9529130087789306,0.8038246250014804,0.7142857142857143,0.01
30,2,0.9651503059324288,0.8316766067818673,0.7142857142857143,0.001
30,2,0.965682362330407,0.8361801656083876,0.7619047619047619,0.0001
5,4,0.9659483905293961,0.8352521986614034,0.7619047619047619,0.1
5,4,0.9467943602021814,0.769453527038594,0.7142857142857143,0.01
5,4,0.9667464751263635,0.8387993011178885,0.7619047619047619,0.001
5,4,0.9670125033253524,0.8395134059294461,0.7619047619047619,0.0001
10,4,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
10,4,0.9678105879223198,0.848939741957784,0.7619047619047619,0.01
10,4,0.9670125033253525,0.8348189205206751,0.7142857142857143,0.001
10,4,0.9667464751263634,0.8385011955484649,0.7619047619047619,0.0001
15,4,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
15,4,0.9757914338919925,0.9064095234222849,0.8571428571428571,0.01
15,4,0.9624900239425379,0.826441283584141,0.7142857142857143,0.001
15,4,0.9675445597233306,0.841091743817308,0.7619047619047619,0.0001
20,4,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
20,4,0.9715349827081671,0.8747398647038995,0.8095238095238095,0.01
20,4,0.9672785315243415,0.8400111660090877,0.7619047619047619,0.001
20,4,0.9670125033253524,0.8395134059294461,0.7619047619047619,0.0001
25,4,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
25,4,0.9553072625698323,0.8478598724577293,0.8095238095238095,0.01
25,4,0.9667464751263635,0.8360775611107325,0.7142857142857143,0.001
25,4,0.9670125033253525,0.8396010822656705,0.7619047619047619,0.0001
30,4,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
30,4,0.9632881085395052,0.8789396319350238,0.8095238095238095,0.01
30,4,0.9670125033253524,0.838909358813771,0.7619047619047619,0.001
30,4,0.9670125033253524,0.838909358813771,0.7619047619047619,0.0001
5,6,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
5,6,0.9537110933758979,0.785143107601509,0.7142857142857143,0.01
5,6,0.9678105879223198,0.8399950935539908,0.7619047619047619,0.001
5,6,0.9675445597233306,0.841091743817308,0.7619047619047619,0.0001
10,6,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
10,6,0.9640861931364725,0.8161713698152413,0.7142857142857143,0.01
10,6,0.9680766161213088,0.8408366371418676,0.7619047619047619,0.001
10,6,0.9670125033253524,0.838909358813771,0.7619047619047619,0.0001
15,6,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
15,6,0.9696727853152435,0.8669319869053076,0.7619047619047619,0.01
15,6,0.9654163341314179,0.8352626131371903,0.7619047619047619,0.001
15,6,0.9675445597233306,0.841091743817308,0.7619047619047619,0.0001
20,6,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
20,6,0.954243149773876,0.8242714905519699,0.7142857142857143,0.01
20,6,0.9662144187283852,0.8382608494687598,0.7619047619047619,0.001
20,6,0.9654163341314179,0.8368994024848779,0.7619047619047619,0.0001
25,6,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
25,6,0.965682362330407,0.8472325171902895,0.7619047619047619,0.01
25,6,0.9662144187283852,0.8376280382047194,0.7619047619047619,0.001
25,6,0.9662144187283852,0.8370382399958736,0.7619047619047619,0.0001
