dataname,k,wavelet_degree,AUC,AUPR,f1,lr
annthyroid,25.0,2.0,0.9821897920129092,0.8630628708140157,0.8370786516853933,0.1
arrhythmia,5.0,2.0,0.7715496938294866,0.6061161132072392,0.5303030303030303,0.1
breastw,10.0,2.0,0.9973990727128802,0.9978774213459636,0.9832635983263598,0.01
campaign,5.0,2.0,0.8077522049416355,0.54019174948411174,0.5383620689655172,0.01
cardio,20.0,4.0,0.9607899648660518,0.8964402418422752,0.8295454545454547,0.1
Cardiotocography,5.0,6.0,0.8985765031876327,0.868156408488572,0.7789699570815449,0.1
fault,10.0,2.0,0.6301343857955104,0.6676126181907562,0.5928677563150074,0.001
glass,5.0,10.0,0.9579288025889968,0.6255295429208474,0.6666666666666666,0.1
Hepatitis,5.0,4.0,0.9321266968325792,0.846494688885993,0.7692307692307693,0.01
Ionosphere,10.0,2.0,0.97984267453294,0.994717277873004,0.9206349206349206,0.001
optdigits,20.0,4.0,0.978141860771154,0.650340394523345,0.6066666666666667,0.01
pendigits,15.0,2.0,0.9994328727572696,0.996669491219917,0.935897435897436,0.01
Pima,25.0,2.0,0.7817910447761194,0.7781366737403488,0.7425373134328358,0.01
satellite,15.0,4.0,0.8384454813359528,0.8729514537759737,0.7421414538310411,0.01
satimage-2,10.0,2.0,0.9994972489507878,0.987654912593868,0.9154929577464788,0.001
SpamBase,5.0,2.0,0.88739812727588,0.8883368891193125,0.8552709946396665,0.1
thyroid,15.0,6.0,0.9743630201028518,0.8621892948831151,0.8064516129032258,0.01
vertebral,20.0,2.0,0.727936507936508,0.5787627036855699,0.5666666666666667,0.1
WBC,5.0,4.0,0.997196261682243,0.9769230769230768,0.9,0.1
WPBC,25.0,8.0,0.5853863381858903,0.486704312185441,0.4468085106382978,0.1
yeast,25.0,2.0,0.5765459437002618,0.5724753638401303,0.571992110453649,0.01
