k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.769586753614734,0.6792155208334572,0.5987124463519313,0.1
5,2,0.1,64,0.54538991207967,0.5157150990828829,0.34120171673819744,0.01
5,2,0.1,64,0.5285975457310721,0.5087556583284628,0.3497854077253219,0.001
5,2,0.1,64,0.7955123130130421,0.7008442551387892,0.6244635193133047,0.0001
5,2,0.1,128,0.639826138589108,0.6006316124763545,0.4871244635193133,0.1
5,2,0.1,128,0.543837764073503,0.5193840449567214,0.3648068669527897,0.01
5,2,0.1,128,0.5319883120130005,0.5182196624035429,0.34763948497854075,0.001
5,2,0.1,128,0.7805793991416309,0.6904772328819886,0.6072961373390557,0.0001
5,2,0.1,256,0.9065429809575398,0.8605411787881593,0.7660944206008585,0.1
5,2,0.1,256,0.5088649527063627,0.5045444952000561,0.3283261802575107,0.01
5,2,0.1,256,0.5154016834034751,0.5166072109507194,0.351931330472103,0.001
5,2,0.1,256,0.7816523605150214,0.6902241115674632,0.6115879828326181,0.0001
5,2,0.1,512,0.7885953581399225,0.6879770600983084,0.6266094420600858,0.1
5,2,0.1,512,0.5322904079336639,0.5122233305034749,0.34120171673819744,0.01
5,2,0.1,512,0.6489775615650653,0.5951734993414827,0.4957081545064378,0.001
5,2,0.1,512,0.7895459185799408,0.6969802095646422,0.6137339055793991,0.0001
5,2,0.3,64,0.7184049335388976,0.6036780479200815,0.6051502145922747,0.1
5,2,0.3,64,0.5224045793574732,0.5086574801906727,0.315450643776824,0.01
5,2,0.3,64,0.5450409392058002,0.5187435751065207,0.34549356223175964,0.001
5,2,0.3,64,0.7278740780865869,0.6473654314375654,0.5600858369098712,0.0001
5,2,0.3,128,0.7685372307179467,0.6773487392677096,0.6008583690987125,0.1
5,2,0.3,128,0.5355483561815075,0.5010789119614942,0.3540772532188841,0.01
5,2,0.3,128,0.527748552023001,0.5200358895368806,0.3626609442060086,0.001
5,2,0.3,128,0.7822226967790324,0.6905916082962043,0.6115879828326181,0.0001
5,2,0.3,256,0.7725087503645985,0.6816352489947535,0.6051502145922747,0.1
5,2,0.3,256,0.5240869411225468,0.5063763270711388,0.33261802575107297,0.01
5,2,0.3,256,0.5456060669194549,0.5313326054891735,0.3905579399141631,0.001
5,2,0.3,256,0.7912725530230427,0.6986384760841389,0.6180257510729614,0.0001
5,2,0.3,512,0.767854910621276,0.6940378138618274,0.6030042918454935,0.1
5,2,0.3,512,0.5453586607775325,0.5171221199618612,0.3369098712446352,0.01
5,2,0.3,512,0.6739525605233552,0.616138281035313,0.5321888412017167,0.001
5,2,0.3,512,0.7858452435518147,0.6941156785768209,0.6158798283261803,0.0001
5,2,0.5,64,0.686338493270553,0.5564098129039122,0.5472103004291845,0.1
5,2,0.5,64,0.5470071669652902,0.5223105507362711,0.371244635193133,0.01
5,2,0.5,64,0.5514708946206093,0.5240021318622019,0.3540772532188841,0.001
5,2,0.5,64,0.7097978040751699,0.6413128750321956,0.555793991416309,0.0001
5,2,0.5,128,0.6225077086545273,0.5402646744652481,0.47639484978540775,0.1
5,2,0.5,128,0.5477129255385641,0.5083120794592573,0.3583690987124464,0.01
5,2,0.5,128,0.5227249052043834,0.5137413703019795,0.3540772532188841,0.001
5,2,0.5,128,0.7824388516188174,0.690426059725274,0.6115879828326181,0.0001
5,2,0.5,256,0.6142495520646694,0.4638880626871224,0.45278969957081544,0.1
5,2,0.5,256,0.5073075961498396,0.4992307473533292,0.33476394849785407,0.01
5,2,0.5,256,0.5457519063294303,0.5353218373579356,0.3969957081545064,0.001
5,2,0.5,256,0.7858452435518146,0.6937874745799919,0.6115879828326181,0.0001
5,2,0.5,512,0.7118603900162508,0.6182234696040141,0.5515021459227468,0.1
5,2,0.5,512,0.526706841951748,0.5142892292082748,0.3497854077253219,0.01
5,2,0.5,512,0.6688768282011751,0.612320259611109,0.5257510729613734,0.001
5,2,0.5,512,0.7826966748614526,0.6913369224075243,0.6094420600858369,0.0001
5,2,0.7,64,0.5489968332013834,0.4252718458551589,0.3605150214592274,0.1
5,2,0.7,64,0.5409392058002417,0.5173398753449046,0.33905579399141633,0.01
5,2,0.7,64,0.5555023125963582,0.5152234192297921,0.3626609442060086,0.001
5,2,0.7,64,0.7730999208300344,0.6832373120567619,0.5987124463519313,0.0001
5,2,0.7,128,0.594319034126422,0.48226386689938494,0.44206008583690987,0.1
5,2,0.7,128,0.5417803866827784,0.5206575710519064,0.38412017167381973,0.01
5,2,0.7,128,0.5395120630026251,0.5192906268573958,0.3626609442060086,0.001
5,2,0.7,128,0.7800689612067168,0.6886042204267544,0.6051502145922747,0.0001
5,2,0.7,256,0.7866838201591734,0.7275149612715233,0.6566523605150214,0.1
5,2,0.7,256,0.5357384682695112,0.5104309593684326,0.33047210300429186,0.01
5,2,0.7,256,0.511682778449102,0.5097671705423268,0.3497854077253219,0.001
5,2,0.7,256,0.7871395683153465,0.6954109904954415,0.6158798283261803,0.0001
5,2,0.7,512,0.6652256344014333,0.5847719083458348,0.5214592274678111,0.1
5,2,0.7,512,0.5147349889578733,0.5002575916668236,0.30472103004291845,0.01
5,2,0.7,512,0.6579362681778407,0.6050374038526356,0.5021459227467812,0.001
5,2,0.7,512,0.7808736822367599,0.6903492095990502,0.6072961373390557,0.0001
5,2,1.0,64,0.5603306387766157,0.4360199266406771,0.43776824034334766,0.1
5,2,1.0,64,0.5378609525396892,0.5151657710630717,0.33047210300429186,0.01
5,2,1.0,64,0.5549059335805658,0.5231362804933508,0.371244635193133,0.001
5,2,1.0,64,0.7557580524188507,0.6676335568535254,0.5858369098712446,0.0001
