k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.7805429864253394,0.5459967277433544,0.5384615384615384,0.1
5,2,0.1,32,0.834841628959276,0.7259988438435687,0.6153846153846154,0.01
5,2,0.1,32,0.8076923076923077,0.5765530765530765,0.5384615384615384,0.001
5,2,0.1,32,0.8099547511312217,0.5820793501788977,0.5384615384615384,0.0001
5,2,0.1,64,0.8076923076923077,0.5810981236788517,0.5384615384615384,0.1
5,2,0.1,64,0.7579185520361991,0.5559853001029471,0.46153846153846156,0.01
5,2,0.1,64,0.7986425339366516,0.5711576222186302,0.5384615384615384,0.001
5,2,0.1,64,0.8054298642533937,0.5762344167691089,0.5384615384615384,0.0001
5,2,0.1,128,0.8190045248868778,0.6262310153614501,0.46153846153846156,0.1
5,2,0.1,128,0.7398190045248869,0.557145403615992,0.46153846153846156,0.01
5,2,0.1,128,0.8009049773755657,0.573880985811559,0.5384615384615384,0.001
5,2,0.1,128,0.8054298642533937,0.5790843580534708,0.5384615384615384,0.0001
5,2,0.1,256,0.8257918552036199,0.6330342071721382,0.5384615384615384,0.1
5,2,0.1,256,0.8416289592760181,0.6713714490637566,0.6923076923076923,0.01
5,2,0.1,256,0.8031674208144797,0.5721617599544021,0.5384615384615384,0.001
5,2,0.1,256,0.8144796380090498,0.5850423131418607,0.5384615384615384,0.0001
5,2,0.1,512,0.7963800904977376,0.5961438320133972,0.5384615384615384,0.1
5,2,0.1,512,0.744343891402715,0.5530318812871287,0.46153846153846156,0.01
5,2,0.1,512,0.8009049773755657,0.5729793519484647,0.5384615384615384,0.001
5,2,0.1,512,0.8031674208144797,0.5746515927511402,0.5384615384615384,0.0001
5,2,0.3,32,0.7036199095022625,0.46462358984120833,0.46153846153846156,0.1
5,2,0.3,32,0.7805429864253394,0.6183058706220235,0.5384615384615384,0.01
5,2,0.3,32,0.7963800904977375,0.6037689453553889,0.5384615384615384,0.001
5,2,0.3,32,0.8099547511312217,0.5818316108007235,0.5384615384615384,0.0001
5,2,0.3,64,0.8099547511312217,0.6086562464994958,0.5384615384615384,0.1
5,2,0.3,64,0.7986425339366516,0.6340451654931292,0.6153846153846154,0.01
5,2,0.3,64,0.7986425339366516,0.5707169085095507,0.5384615384615384,0.001
5,2,0.3,64,0.8099547511312217,0.5829712119403248,0.5384615384615384,0.0001
5,2,0.3,128,0.8076923076923077,0.5811086495514466,0.5384615384615384,0.1
5,2,0.3,128,0.8325791855203619,0.6889707677942971,0.6153846153846154,0.01
5,2,0.3,128,0.8099547511312217,0.580721999164796,0.5384615384615384,0.001
5,2,0.3,128,0.8099547511312217,0.5810714886447204,0.5384615384615384,0.0001
5,2,0.3,256,0.7963800904977376,0.5677759797065529,0.5384615384615384,0.1
5,2,0.3,256,0.7714932126696833,0.5722310911284476,0.46153846153846156,0.01
5,2,0.3,256,0.8076923076923077,0.5801689574352837,0.5384615384615384,0.001
5,2,0.3,256,0.8054298642533937,0.5768662058353184,0.5384615384615384,0.0001
5,2,0.3,512,0.8144796380090498,0.611793688767373,0.46153846153846156,0.1
5,2,0.3,512,0.8552036199095023,0.7361626921483126,0.6923076923076923,0.01
5,2,0.3,512,0.8099547511312216,0.5815385705076832,0.5384615384615384,0.001
5,2,0.3,512,0.8076923076923077,0.5767979843712161,0.5384615384615384,0.0001
5,2,0.5,32,0.5542986425339367,0.36174257680919675,0.3076923076923077,0.1
5,2,0.5,32,0.8936651583710407,0.8029256405251097,0.7692307692307693,0.01
5,2,0.5,32,0.7986425339366515,0.5667354238779112,0.5384615384615384,0.001
5,2,0.5,32,0.8054298642533937,0.5759743440738916,0.5384615384615384,0.0001
5,2,0.5,64,0.7963800904977376,0.5745421245421245,0.5384615384615384,0.1
5,2,0.5,64,0.8122171945701357,0.6466582411310453,0.5384615384615384,0.01
5,2,0.5,64,0.7963800904977376,0.5694853814159546,0.5384615384615384,0.001
5,2,0.5,64,0.8076923076923077,0.5786977076668205,0.5384615384615384,0.0001
5,2,0.5,128,0.823529411764706,0.6195016045091009,0.5384615384615384,0.1
5,2,0.5,128,0.753393665158371,0.5506599359275284,0.46153846153846156,0.01
5,2,0.5,128,0.8099547511312217,0.5810714886447204,0.5384615384615384,0.001
5,2,0.5,128,0.8076923076923077,0.5816484606175734,0.5384615384615384,0.0001
5,2,0.5,256,0.8009049773755657,0.5767770876466529,0.5384615384615384,0.1
5,2,0.5,256,0.8076923076923077,0.6331063615182722,0.6153846153846154,0.01
5,2,0.5,256,0.8009049773755657,0.574990412783055,0.5384615384615384,0.001
5,2,0.5,256,0.8031674208144797,0.5772892684657391,0.5384615384615384,0.0001
5,2,0.5,512,0.7986425339366516,0.5721124410815538,0.5384615384615384,0.1
5,2,0.5,512,0.8190045248868778,0.6621571139116537,0.6153846153846154,0.01
5,2,0.5,512,0.8054298642533937,0.5798771224578505,0.5384615384615384,0.001
5,2,0.5,512,0.7986425339366516,0.571314350283463,0.5384615384615384,0.0001
5,2,0.7,32,0.8031674208144798,0.5818934574197732,0.5384615384615384,0.1
5,2,0.7,32,0.8755656108597285,0.7713606124490078,0.6923076923076923,0.01
5,2,0.7,32,0.8099547511312217,0.616316308743077,0.5384615384615384,0.001
