k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.4459193706981318,0.6243772944289274,0.46825396825396826,0.1
5,2,0.1,32,0.9607388678185138,0.9705146492839787,0.8968253968253969,0.01
5,2,0.1,32,0.9638291894929063,0.973555337013351,0.9047619047619048,0.001
5,2,0.1,32,0.8725944655148193,0.893053754600432,0.753968253968254,0.0001
5,2,0.1,64,0.8681696867537576,0.8664299627123748,0.7619047619047619,0.1
5,2,0.1,64,0.9577187807276303,0.9703234230129125,0.9047619047619048,0.01
5,2,0.1,64,0.9515381373788454,0.9603884009258784,0.8809523809523809,0.001
5,2,0.1,64,0.8721028234302569,0.8920611825870259,0.753968253968254,0.0001
5,2,0.1,128,0.8494872875403848,0.864309583679465,0.7222222222222222,0.1
5,2,0.1,128,0.9573676078100857,0.9703504416960191,0.9047619047619048,0.01
5,2,0.1,128,0.8881163084702908,0.9077454566644296,0.7698412698412699,0.001
5,2,0.1,128,0.8732265767663997,0.8935607981903066,0.753968253968254,0.0001
5,2,0.1,256,0.865149599662874,0.8829500841427296,0.746031746031746,0.1
5,2,0.1,256,0.9632673128248349,0.9732794667556499,0.8968253968253969,0.01
5,2,0.1,256,0.8797583930327293,0.8993018804001951,0.753968253968254,0.001
5,2,0.1,256,0.8737182188509621,0.8947815825513056,0.753968253968254,0.0001
10,2,0.1,32,0.8959825818232898,0.8969262449193922,0.8333333333333334,0.1
10,2,0.1,32,0.9672004495013344,0.974842275150492,0.8968253968253969,0.01
10,2,0.1,32,0.97984267453294,0.9843172778730045,0.9206349206349206,0.001
10,2,0.1,32,0.8728051692653461,0.8933339208006144,0.753968253968254,0.0001
10,2,0.1,64,0.8445708666947604,0.8689409543200599,0.8015873015873016,0.1
10,2,0.1,64,0.9679730299199325,0.9754200084813011,0.9047619047619048,0.01
10,2,0.1,64,0.9592639415648265,0.9660650612795163,0.8809523809523809,0.001
10,2,0.1,64,0.8695743784239359,0.8900702776536,0.753968253968254,0.0001
10,2,0.1,128,0.841480545020368,0.8504676869541141,0.7777777777777778,0.1
10,2,0.1,128,0.9572271386430679,0.9704034047339771,0.9047619047619048,0.01
10,2,0.1,128,0.8810928501193988,0.8993249385371758,0.7619047619047619,0.001
10,2,0.1,128,0.8768085405253546,0.8971127542977797,0.7619047619047619,0.0001
10,2,0.1,256,0.8605843517347942,0.8672709562009949,0.7936507936507936,0.1
10,2,0.1,256,0.9572973732265768,0.9695843340381846,0.9047619047619048,0.01
10,2,0.1,256,0.8820058997050148,0.9009318510106457,0.7619047619047619,0.001
10,2,0.1,256,0.874701503020087,0.8950493079999053,0.7619047619047619,0.0001
15,2,0.1,32,0.8481528304537155,0.8769450430354067,0.7222222222222222,0.1
15,2,0.1,32,0.9730299199325748,0.9790896802274917,0.9285714285714286,0.01
15,2,0.1,32,0.9598258182328978,0.9716576947539486,0.8968253968253969,0.001
15,2,0.1,32,0.873156342182891,0.8935165022638258,0.753968253968254,0.0001
15,2,0.1,64,0.8784941705295687,0.88049412181545,0.7698412698412699,0.1
15,2,0.1,64,0.9642505969939598,0.9731945195100142,0.9047619047619048,0.01
15,2,0.1,64,0.939668492765838,0.9503879618277495,0.8571428571428571,0.001
15,2,0.1,64,0.8720325888467482,0.8925399856721801,0.753968253968254,0.0001
15,2,0.1,128,0.8560191038067144,0.873535963145564,0.746031746031746,0.1
15,2,0.1,128,0.9580699536451749,0.9698796105909314,0.9047619047619048,0.01
