k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.5752985074626866,0.5597495960764364,0.5746268656716418,0.1
5,2,0.1,32,0.7487611940298509,0.7416729400163815,0.7089552238805971,0.01
5,2,0.1,32,0.7414328358208955,0.735968194855983,0.6902985074626866,0.001
5,2,0.1,32,0.7245671641791045,0.7072743915274642,0.6977611940298507,0.0001
5,2,0.1,64,0.5092985074626866,0.5485226601481855,0.5373134328358209,0.1
5,2,0.1,64,0.7518059701492537,0.744830407687965,0.6940298507462687,0.01
5,2,0.1,64,0.6873134328358209,0.6899440489043144,0.664179104477612,0.001
5,2,0.1,64,0.7181343283582089,0.7007873312632239,0.6940298507462687,0.0001
5,2,0.1,128,0.6251194029850746,0.616894299864411,0.6156716417910447,0.1
5,2,0.1,128,0.7404477611940299,0.7293258919433943,0.7014925373134329,0.01
5,2,0.1,128,0.7024626865671642,0.6982371202442974,0.664179104477612,0.001
5,2,0.1,128,0.717776119402985,0.7015192276216844,0.6902985074626866,0.0001
5,2,0.1,256,0.7247313432835821,0.6993040607341113,0.6977611940298507,0.1
5,2,0.1,256,0.7276567164179105,0.7123112918627552,0.6791044776119403,0.01
5,2,0.1,256,0.721820895522388,0.7024386759402237,0.6940298507462687,0.001
5,2,0.1,256,0.7161641791044777,0.7011512863184504,0.6902985074626866,0.0001
10,2,0.1,32,0.7219850746268657,0.7005288319804935,0.6977611940298507,0.1
10,2,0.1,32,0.7652537313432836,0.7470763009667043,0.7164179104477613,0.01
10,2,0.1,32,0.7541044776119403,0.7449707771033269,0.712686567164179,0.001
10,2,0.1,32,0.720820895522388,0.6992458714702177,0.7014925373134329,0.0001
10,2,0.1,64,0.5788358208955224,0.5764176608552835,0.5746268656716418,0.1
10,2,0.1,64,0.7324776119402985,0.7116959137765131,0.6977611940298507,0.01
10,2,0.1,64,0.7055970149253732,0.6942516375106398,0.6753731343283582,0.001
10,2,0.1,64,0.7201940298507463,0.7037263296814591,0.6902985074626866,0.0001
10,2,0.1,128,0.4829850746268657,0.512584034438855,0.5074626865671642,0.1
10,2,0.1,128,0.7580298507462686,0.7554451026403393,0.7164179104477613,0.01
10,2,0.1,128,0.6975671641791045,0.6913394896874144,0.6529850746268657,0.001
10,2,0.1,128,0.7190597014925373,0.7042405827046585,0.6902985074626866,0.0001
10,2,0.1,256,0.7271492537313433,0.7169066553075152,0.6791044776119403,0.1
10,2,0.1,256,0.7156119402985074,0.6882911093530177,0.6940298507462687,0.01
10,2,0.1,256,0.731,0.7121507751967375,0.6940298507462687,0.001
10,2,0.1,256,0.7219552238805971,0.70416811455244,0.6940298507462687,0.0001
15,2,0.1,32,0.41994029850746273,0.4752016069401541,0.4664179104477612,0.1
15,2,0.1,32,0.7095820895522387,0.6970186176885029,0.6791044776119403,0.01
15,2,0.1,32,0.7459850746268657,0.7320179012026022,0.6865671641791045,0.001
15,2,0.1,32,0.722134328358209,0.7028063949123451,0.7052238805970149,0.0001
15,2,0.1,64,0.5349253731343283,0.5853323756948516,0.5298507462686567,0.1
15,2,0.1,64,0.7507761194029852,0.7516023999942318,0.7089552238805971,0.01
15,2,0.1,64,0.7208955223880598,0.7058341777311855,0.6865671641791045,0.001
15,2,0.1,64,0.7202985074626866,0.7026947939521122,0.6977611940298507,0.0001
15,2,0.1,128,0.6250597014925373,0.6213683273080561,0.6194029850746269,0.1
15,2,0.1,128,0.7620298507462686,0.7551330707912374,0.712686567164179,0.01
15,2,0.1,128,0.6936268656716418,0.6925463660330444,0.6529850746268657,0.001
15,2,0.1,128,0.7163582089552238,0.6988976338400039,0.6902985074626866,0.0001
15,2,0.1,256,0.7383582089552237,0.7175910894152048,0.7089552238805971,0.1
15,2,0.1,256,0.7560895522388059,0.7298469412154958,0.7052238805970149,0.01
15,2,0.1,256,0.7301492537313433,0.7132264120742364,0.7052238805970149,0.001
15,2,0.1,256,0.7183731343283583,0.7011410949078394,0.6940298507462687,0.0001
20,2,0.1,32,0.546044776119403,0.5770005476182083,0.5335820895522388,0.1
20,2,0.1,32,0.7576417910447761,0.7593861750501888,0.7089552238805971,0.01
20,2,0.1,32,0.7794776119402985,0.7767165099888778,0.7201492537313432,0.001
20,2,0.1,32,0.7269850746268658,0.7087477279319364,0.6940298507462687,0.0001
20,2,0.1,64,0.6878805970149254,0.6857001858141828,0.6567164179104478,0.1
20,2,0.1,64,0.7460597014925372,0.7401832534712383,0.6940298507462687,0.01
20,2,0.1,64,0.7069253731343283,0.6984632183046184,0.6604477611940298,0.001
20,2,0.1,64,0.7143432835820895,0.6967772976798492,0.6940298507462687,0.0001
20,2,0.1,128,0.5273283582089552,0.5812826676690079,0.5410447761194029,0.1
20,2,0.1,128,0.7708955223880596,0.7684525506902611,0.7164179104477613,0.01
20,2,0.1,128,0.7083283582089551,0.7118625130055757,0.664179104477612,0.001
20,2,0.1,128,0.7151194029850746,0.696908414637708,0.6940298507462687,0.0001
20,2,0.1,256,0.7345074626865671,0.7162670820081877,0.7089552238805971,0.1
20,2,0.1,256,0.7650000000000001,0.7493749044364595,0.7238805970149254,0.01
20,2,0.1,256,0.7201940298507463,0.7039017709707361,0.7052238805970149,0.001
20,2,0.1,256,0.7162537313432836,0.6994795294157079,0.6940298507462687,0.0001
25,2,0.1,32,0.6285373134328358,0.619605005726553,0.6119402985074627,0.1
25,2,0.1,32,0.7587910447761195,0.7446079488389455,0.7089552238805971,0.01
25,2,0.1,32,0.7725820895522387,0.7718043016389434,0.7238805970149254,0.001
25,2,0.1,32,0.7159104477611942,0.6969306939658321,0.6940298507462687,0.0001
25,2,0.1,64,0.5700149253731344,0.6395100979452497,0.5373134328358209,0.1
25,2,0.1,64,0.7775223880597014,0.764842490786974,0.7238805970149254,0.01
25,2,0.1,64,0.7217462686567163,0.7177135394044005,0.6791044776119403,0.001
25,2,0.1,64,0.7207910447761194,0.7013498676475134,0.6940298507462687,0.0001
25,2,0.1,128,0.4114925373134328,0.5182371694793826,0.44402985074626866,0.1
25,2,0.1,128,0.7817910447761194,0.7781366737403488,0.7425373134328358,0.01
25,2,0.1,128,0.6923432835820896,0.6898985697500912,0.6492537313432836,0.001
25,2,0.1,128,0.7196268656716416,0.7047223410798107,0.6940298507462687,0.0001
25,2,0.1,256,0.7198059701492538,0.711788760347668,0.6865671641791045,0.1
25,2,0.1,256,0.767910447761194,0.7555516711775282,0.712686567164179,0.01
25,2,0.1,256,0.7304925373134328,0.7151906848880628,0.7014925373134329,0.001
25,2,0.1,256,0.7147462686567164,0.696047293529784,0.6977611940298507,0.0001
5,4,0.1,32,0.5554029850746268,0.5917178763270203,0.5447761194029851,0.1
5,4,0.1,32,0.7378059701492538,0.7290064827802217,0.7014925373134329,0.01
5,4,0.1,32,0.7409850746268658,0.7243147091792432,0.7014925373134329,0.001
5,4,0.1,32,0.7204029850746269,0.6977349615406151,0.7014925373134329,0.0001
5,4,0.1,64,0.5734179104477611,0.6004206339940148,0.5597014925373134,0.1
5,4,0.1,64,0.7371940298507462,0.7267314942147316,0.6865671641791045,0.01
