k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.7966192579971502,0.8187357691817458,0.7629541393686718,0.1
5,2,0.1,64,0.8544426308607446,0.8606391467613622,0.8237045860631328,0.01
5,2,0.1,64,0.8420209437504241,0.842511427867465,0.8100059559261465,0.001
5,2,0.1,64,0.8189926191750665,0.8229354781008356,0.7897558070279929,0.0001
5,2,0.1,128,0.88739812727588,0.8883368891193125,0.8552709946396665,0.1
5,2,0.1,128,0.8620208872068214,0.8679915746359844,0.8213222156045265,0.01
5,2,0.1,128,0.8337457875016021,0.8330254806858634,0.8034544371649791,0.001
5,2,0.1,128,0.8147518489758069,0.818896652795873,0.7849910661107802,0.0001
5,2,0.1,256,0.8071307137310486,0.8108479206170436,0.7766527695056581,0.1
5,2,0.1,256,0.8569366749345979,0.8647199519299416,0.8225134008338296,0.01
5,2,0.1,256,0.8279495970325917,0.8274462797427168,0.8022632519356759,0.001
5,2,0.1,256,0.8146232122797625,0.8187928878725588,0.7855866587254319,0.0001
10,2,0.1,64,0.780508100813474,0.8165254920718172,0.7564026206075046,0.1
10,2,0.1,64,0.8623643895929616,0.8651150656027226,0.8260869565217391,0.01
10,2,0.1,64,0.8416317352854698,0.8447646607187784,0.8070279928528886,0.001
10,2,0.1,64,0.8207963600998183,0.8239985894036659,0.7891602144133413,0.0001
10,2,0.1,128,0.814700488536727,0.8205038984891908,0.7843954734961287,0.1
10,2,0.1,128,0.8531044322645336,0.8609555063254948,0.8147706968433591,0.01
10,2,0.1,128,0.8316324703523043,0.8293277055388837,0.7969029184038117,0.001
10,2,0.1,128,0.8152216320745471,0.8192237456453104,0.7861822513400835,0.0001
10,2,0.1,256,0.8114464042038283,0.8187828213875665,0.7885646217986897,0.1
10,2,0.1,256,0.8548733046343137,0.8619060453948559,0.8171530673019655,0.01
10,2,0.1,256,0.8189431435227418,0.8205335215928791,0.7885646217986897,0.001
10,2,0.1,256,0.8140879328412784,0.8185346470138462,0.7849910661107802,0.0001
15,2,0.1,64,0.8042818585505236,0.8122550752249313,0.7855866587254319,0.1
15,2,0.1,64,0.8583658144917484,0.8652991019416145,0.8225134008338296,0.01
15,2,0.1,64,0.8460119797046163,0.8487501506088355,0.8159618820726624,0.001
15,2,0.1,64,0.8213533145859877,0.8241902164931556,0.7915425848719476,0.0001
15,2,0.1,128,0.780001093176318,0.7989398807062055,0.7861822513400835,0.1
15,2,0.1,128,0.8597916556720773,0.8682898228359962,0.8266825491363907,0.01
15,2,0.1,128,0.8361861151529316,0.8331839981618859,0.8058368076235854,0.001
15,2,0.1,128,0.8149620026990146,0.8190403933271385,0.7867778439547349,0.0001
15,2,0.1,256,0.7933039180947068,0.7973399712741609,0.7712924359737939,0.1
15,2,0.1,256,0.8596517102555016,0.8676173845961811,0.820726622989875,0.01
15,2,0.1,256,0.826353182650915,0.8267514771430142,0.7974985110184634,0.001
15,2,0.1,256,0.8144507542916595,0.8187597189084852,0.7861822513400835,0.0001
20,2,0.1,64,0.842645279363093,0.8569610469464706,0.8046456223942822,0.1
20,2,0.1,64,0.8572566174862977,0.8628276574599327,0.820726622989875,0.01
20,2,0.1,64,0.8430825498903054,0.8446621789844075,0.8129839189994044,0.001
20,2,0.1,64,0.821547447621776,0.8246256564154799,0.790946992257296,0.0001
20,2,0.1,128,0.8313865056807473,0.8398108217666291,0.8004764740917212,0.1
20,2,0.1,128,0.8591795711733174,0.8661595898202745,0.8278737343656939,0.01
20,2,0.1,128,0.8363255893728182,0.8366422610160514,0.8016676593210244,0.001
20,2,0.1,128,0.8145318001221342,0.818700271733046,0.7849910661107802,0.0001
20,2,0.1,256,0.7952626827300759,0.7851570305083125,0.7712924359737939,0.1
20,2,0.1,256,0.8544699602686952,0.8585437286216814,0.8189398451459202,0.01
20,2,0.1,256,0.8263545962409813,0.8258245370397223,0.7969029184038117,0.001
20,2,0.1,256,0.8135069473239798,0.8181078462970575,0.7837998808814771,0.0001
25,2,0.1,64,0.7738340709132169,0.802975699215603,0.7331745086360928,0.1
25,2,0.1,64,0.862533549204243,0.8654925051843814,0.8272781417510424,0.01
25,2,0.1,64,0.8517129884424876,0.8543309652147485,0.820726622989875,0.001
25,2,0.1,64,0.8203162106739244,0.8237233888869515,0.7885646217986897,0.0001
25,2,0.1,128,0.6852179944361095,0.7723178066081664,0.6730196545562835,0.1
25,2,0.1,128,0.8576491243280735,0.863960838766048,0.8237045860631328,0.01
25,2,0.1,128,0.8333405583492282,0.8338336489891539,0.7986896962477664,0.001
25,2,0.1,128,0.8139658928988773,0.8185322170888971,0.7849910661107802,0.0001
25,2,0.1,256,0.8128962764152863,0.8177624119605293,0.782608695652174,0.1
25,2,0.1,256,0.8614234098054147,0.8680893806132399,0.8243001786777844,0.01
25,2,0.1,256,0.8223338748953943,0.8237411983165294,0.790946992257296,0.001
25,2,0.1,256,0.8146863526360628,0.8188222522972011,0.7855866587254319,0.0001
5,4,0.1,64,0.8451944534495367,0.8598203392546645,0.8052412150089339,0.1
5,4,0.1,64,0.86002348444297,0.8645063714851443,0.8302561048243002,0.01
5,4,0.1,64,0.8517153444259318,0.8524122645110168,0.821917808219178,0.001
5,4,0.1,64,0.8192489501737774,0.8223942734350163,0.7897558070279929,0.0001
5,4,0.1,128,0.662006845545495,0.7109468759883888,0.6634901727218583,0.1
