k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.9598130841121495,0.7371144206670521,0.7,0.1
5,2,0.1,32,0.991588785046729,0.9284848484848484,0.8000000000000002,0.01
5,2,0.1,32,0.9738317757009346,0.7486488949646843,0.6,0.001
5,2,0.1,32,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
5,2,0.1,64,0.9934579439252337,0.9408119658119657,0.8000000000000002,0.1
5,2,0.1,64,0.991588785046729,0.9284848484848484,0.8000000000000002,0.01
5,2,0.1,64,0.9700934579439252,0.7277030812324929,0.7,0.001
5,2,0.1,64,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
5,2,0.1,128,0.9794392523364486,0.7504836829836828,0.7,0.1
5,2,0.1,128,0.9869158878504672,0.8101373626373626,0.8000000000000002,0.01
5,2,0.1,128,0.991588785046729,0.9165190365190364,0.8000000000000002,0.001
5,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
5,2,0.1,256,0.9925233644859813,0.9283119658119657,0.8000000000000002,0.1
5,2,0.1,256,0.9897196261682243,0.8978646353646352,0.7,0.01
5,2,0.1,256,0.9925233644859813,0.9283119658119657,0.8000000000000002,0.001
5,2,0.1,256,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
10,2,0.1,32,0.7140186915887851,0.3375817700817701,0.5,0.1
10,2,0.1,32,0.9962616822429906,0.9714285714285714,0.9,0.01
10,2,0.1,32,0.9766355140186915,0.7539317545199898,0.7,0.001
10,2,0.1,32,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
10,2,0.1,64,0.9813084112149533,0.8135606060606061,0.7,0.1
10,2,0.1,64,0.9850467289719627,0.9026190476190475,0.8000000000000002,0.01
10,2,0.1,64,0.9700934579439252,0.7277030812324929,0.7,0.001
10,2,0.1,64,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
10,2,0.1,128,0.9878504672897196,0.8774281274281274,0.7,0.1
10,2,0.1,128,0.9841121495327103,0.8573291904174257,0.7,0.01
10,2,0.1,128,0.9906542056074766,0.9097008547008546,0.8000000000000002,0.001
10,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
10,2,0.1,256,0.994392523364486,0.9503174603174603,0.9,0.1
10,2,0.1,256,0.9869158878504672,0.8699342324342324,0.7,0.01
10,2,0.1,256,0.991588785046729,0.9165190365190364,0.8000000000000002,0.001
10,2,0.1,256,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
15,2,0.1,32,0.7467289719626168,0.3742672031596405,0.3,0.1
15,2,0.1,32,0.9925233644859813,0.9208444333444333,0.8000000000000002,0.01
15,2,0.1,32,0.9785046728971962,0.8055555555555555,0.7,0.001
15,2,0.1,32,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
15,2,0.1,64,0.9672897196261682,0.698420740765942,0.7,0.1
15,2,0.1,64,0.9906542056074766,0.9295306001188354,0.8000000000000002,0.01
15,2,0.1,64,0.9738317757009346,0.7424850068232421,0.7,0.001
15,2,0.1,64,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
15,2,0.1,128,0.9962616822429906,0.9669230769230769,0.9,0.1
15,2,0.1,128,0.985981308411215,0.8307034632034631,0.7,0.01
15,2,0.1,128,0.9906542056074766,0.9097008547008546,0.8000000000000002,0.001
15,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
15,2,0.1,256,0.9841121495327103,0.8533761989644343,0.7,0.1
15,2,0.1,256,0.991588785046729,0.9228174603174603,0.8000000000000002,0.01
15,2,0.1,256,0.991588785046729,0.9165190365190364,0.8000000000000002,0.001
15,2,0.1,256,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
20,2,0.1,32,0.7224299065420561,0.34805943622167845,0.3,0.1
20,2,0.1,32,0.9906542056074766,0.9206593406593405,0.8000000000000002,0.01
20,2,0.1,32,0.9766355140186915,0.7584415584415585,0.7,0.001
20,2,0.1,32,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
20,2,0.1,64,0.9663551401869159,0.6865169552669553,0.7,0.1
20,2,0.1,64,0.9906542056074766,0.9105880230880231,0.8000000000000002,0.01
20,2,0.1,64,0.9672897196261682,0.7106376904828917,0.6,0.001
20,2,0.1,64,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
20,2,0.1,128,0.9785046728971962,0.7999482380364734,0.7,0.1
20,2,0.1,128,0.9850467289719627,0.8708333333333332,0.7,0.01
20,2,0.1,128,0.991588785046729,0.9165190365190364,0.8000000000000002,0.001
20,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
20,2,0.1,256,0.9682242990654205,0.726494133885438,0.7,0.1
20,2,0.1,256,0.9803738317757009,0.8061372399530293,0.7,0.01
20,2,0.1,256,0.991588785046729,0.9165190365190364,0.8000000000000002,0.001
20,2,0.1,256,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
25,2,0.1,32,0.8981308411214953,0.7471145276292335,0.7,0.1
25,2,0.1,32,0.991588785046729,0.9264285714285715,0.8000000000000002,0.01
25,2,0.1,32,0.9766355140186915,0.8036796536796537,0.7,0.001
25,2,0.1,32,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
25,2,0.1,64,0.9850467289719627,0.8443253968253968,0.8000000000000002,0.1
25,2,0.1,64,0.9738317757009346,0.8282521645021644,0.7,0.01
25,2,0.1,64,0.9710280373831776,0.7198214285714285,0.7,0.001
25,2,0.1,64,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
25,2,0.1,128,0.9813084112149533,0.7788170163170163,0.7,0.1
25,2,0.1,128,0.9794392523364486,0.7909523809523809,0.8000000000000002,0.01
25,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.001
25,2,0.1,128,0.994392523364486,0.951923076923077,0.8000000000000002,0.0001
