k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.45744680851063835,0.34973222258392056,0.3191489361702128,0.1
5,2,0.1,32,0.5397536394176932,0.44614820667877153,0.44680851063829785,0.01
5,2,0.1,32,0.48376259798432253,0.3587168316059277,0.3404255319148936,0.001
5,2,0.1,32,0.4714445688689809,0.3963208343186013,0.3191489361702128,0.0001
5,2,0.1,64,0.5089585666293392,0.4195032106890752,0.40425531914893614,0.1
5,2,0.1,64,0.5296752519596865,0.4352764856983498,0.3191489361702128,0.01
5,2,0.1,64,0.47396416573348255,0.3682856448170738,0.3404255319148936,0.001
5,2,0.1,64,0.469484882418813,0.39535876134110076,0.3191489361702128,0.0001
5,2,0.1,128,0.4764837625979843,0.3993353647612862,0.3404255319148936,0.1
5,2,0.1,128,0.5207166853303471,0.40522413952773056,0.3617021276595745,0.01
5,2,0.1,128,0.4722844344904815,0.39679289359199604,0.3404255319148936,0.001
5,2,0.1,128,0.4708846584546472,0.39550995455275867,0.3191489361702128,0.0001
5,2,0.1,256,0.4902015677491601,0.4114089477578773,0.3617021276595745,0.1
5,2,0.1,256,0.5481522956326987,0.4214293712232312,0.40425531914893614,0.01
5,2,0.1,256,0.46836506159014557,0.3927936975847455,0.2978723404255319,0.001
5,2,0.1,256,0.4748040313549832,0.39670416779304046,0.3191489361702128,0.0001
10,2,0.1,32,0.4283314669652855,0.37927531630579336,0.3191489361702128,0.1
10,2,0.1,32,0.526875699888018,0.42394729723426083,0.3617021276595745,0.01
10,2,0.1,32,0.4944008958566629,0.3658923576457013,0.3191489361702128,0.001
10,2,0.1,32,0.4697648376259798,0.39442847648027957,0.3191489361702128,0.0001
10,2,0.1,64,0.5344344904815229,0.40014727075664347,0.38297872340425526,0.1
10,2,0.1,64,0.5285554311310191,0.41038318926747624,0.40425531914893614,0.01
10,2,0.1,64,0.4636058230683091,0.3634667726279191,0.2765957446808511,0.001
10,2,0.1,64,0.4706047032474803,0.395808979823384,0.3191489361702128,0.0001
10,2,0.1,128,0.4801231802911534,0.40184759158838324,0.3404255319148936,0.1
10,2,0.1,128,0.5363941769316909,0.4203555574672464,0.40425531914893614,0.01
10,2,0.1,128,0.46836506159014557,0.3934059885481061,0.2978723404255319,0.001
10,2,0.1,128,0.47004479283314665,0.3944129870462713,0.3191489361702128,0.0001
10,2,0.1,256,0.46276595744680854,0.379813644752719,0.3191489361702128,0.1
10,2,0.1,256,0.5403135498320268,0.4247950478946914,0.44680851063829785,0.01
10,2,0.1,256,0.47452407614781633,0.39523095463241126,0.3191489361702128,0.001
10,2,0.1,256,0.4697648376259798,0.3945083523532429,0.3191489361702128,0.0001
15,2,0.1,32,0.5072788353863382,0.3757072278663115,0.46808510638297873,0.1
15,2,0.1,32,0.5391937290033594,0.44966286512639847,0.40425531914893614,0.01
15,2,0.1,32,0.49384098544232924,0.3647791825175015,0.3404255319148936,0.001
15,2,0.1,32,0.46836506159014557,0.3934574590769257,0.3191489361702128,0.0001
15,2,0.1,64,0.48264277715565507,0.3895204704109227,0.3191489361702128,0.1
15,2,0.1,64,0.5257558790593505,0.4210405069234671,0.38297872340425526,0.01
15,2,0.1,64,0.4650055991041433,0.3660084411316074,0.2978723404255319,0.001
15,2,0.1,64,0.46836506159014557,0.39418719594276813,0.3191489361702128,0.0001
15,2,0.1,128,0.4851623740201567,0.3874058649413706,0.3617021276595745,0.1
15,2,0.1,128,0.5433930571108622,0.4306989719914062,0.44680851063829785,0.01
15,2,0.1,128,0.47928331466965285,0.39760431127818435,0.2978723404255319,0.001
15,2,0.1,128,0.4689249720044793,0.39437339152749035,0.2978723404255319,0.0001
15,2,0.1,256,0.4720044792833146,0.38318533309180375,0.3191489361702128,0.1
15,2,0.1,256,0.5305151175811871,0.4072904083646816,0.42553191489361697,0.01
15,2,0.1,256,0.4759238521836506,0.395716826631519,0.3191489361702128,0.001
15,2,0.1,256,0.46668533034714443,0.3934556385257614,0.3191489361702128,0.0001
20,2,0.1,32,0.4955207166853304,0.4580430337119023,0.40425531914893614,0.1
20,2,0.1,32,0.5450727883538634,0.43392807024472896,0.40425531914893614,0.01
20,2,0.1,32,0.498040313549832,0.3672136131133646,0.2978723404255319,0.001
20,2,0.1,32,0.4706047032474804,0.39565412369935293,0.2978723404255319,0.0001
20,2,0.1,64,0.5058790593505039,0.42070740726487904,0.42553191489361697,0.1
20,2,0.1,64,0.5341545352743561,0.41839952029800315,0.40425531914893614,0.01
20,2,0.1,64,0.46528555431131025,0.36593970795223846,0.3404255319148936,0.001
20,2,0.1,64,0.4697648376259798,0.39509124438341997,0.3191489361702128,0.0001
20,2,0.1,128,0.48068309070548715,0.4032006738999918,0.3404255319148936,0.1
20,2,0.1,128,0.5338745800671892,0.39371938684656316,0.38297872340425526,0.01
20,2,0.1,128,0.48376259798432253,0.4003615535480426,0.3404255319148936,0.001
20,2,0.1,128,0.47004479283314665,0.39632052087561437,0.3191489361702128,0.0001
20,2,0.1,256,0.48208286674132134,0.4020816087018578,0.3404255319148936,0.1
20,2,0.1,256,0.5405935050391938,0.40925802046217713,0.38297872340425526,0.01
20,2,0.1,256,0.4708846584546473,0.39302976642981874,0.3191489361702128,0.001
20,2,0.1,256,0.46780515117581184,0.39396656436190597,0.3191489361702128,0.0001
25,2,0.1,32,0.5473124300111982,0.4196367680123676,0.3404255319148936,0.1
25,2,0.1,32,0.5050391937290033,0.385306253066805,0.3404255319148936,0.01
25,2,0.1,32,0.48320268756998885,0.3585619897103203,0.3404255319148936,0.001
25,2,0.1,32,0.46920492721164614,0.39434397716941577,0.3191489361702128,0.0001
25,2,0.1,64,0.456047032474804,0.3703870566024315,0.3191489361702128,0.1
25,2,0.1,64,0.5128779395296753,0.4140003115381899,0.38297872340425526,0.01
25,2,0.1,64,0.45996640537513994,0.37152000958654413,0.2978723404255319,0.001
25,2,0.1,64,0.47004479283314665,0.394864552521809,0.3404255319148936,0.0001
25,2,0.1,128,0.47452407614781633,0.39748431566262704,0.2978723404255319,0.1
25,2,0.1,128,0.5405935050391937,0.42497695290319343,0.44680851063829785,0.01
25,2,0.1,128,0.47116461366181406,0.39420359340123434,0.3191489361702128,0.001
25,2,0.1,128,0.46780515117581184,0.3938999309225589,0.3191489361702128,0.0001
25,2,0.1,256,0.509518477043673,0.4036815865618847,0.38297872340425526,0.1
25,2,0.1,256,0.5475923852183651,0.43924071557587124,0.46808510638297873,0.01
25,2,0.1,256,0.4717245240761478,0.3943304365804264,0.3191489361702128,0.001
25,2,0.1,256,0.46752519596864495,0.39358423597791486,0.3404255319148936,0.0001
5,4,0.1,32,0.578387458006719,0.4481769404229388,0.48936170212765956,0.1
5,4,0.1,32,0.4848824188129899,0.38810480185704677,0.3191489361702128,0.01
5,4,0.1,32,0.4955207166853303,0.36894776519957445,0.3617021276595745,0.001
5,4,0.1,32,0.467525195968645,0.3943407349531905,0.3191489361702128,0.0001
5,4,0.1,64,0.41433370660694296,0.34447145240876514,0.3191489361702128,0.1
5,4,0.1,64,0.5067189249720044,0.4080215741853482,0.3617021276595745,0.01
5,4,0.1,64,0.47116461366181417,0.37295200298352416,0.3404255319148936,0.001
5,4,0.1,64,0.47060470324748044,0.3950332181414126,0.2978723404255319,0.0001
5,4,0.1,128,0.4650055991041433,0.3844723693391667,0.3191489361702128,0.1
5,4,0.1,128,0.5156774916013438,0.4138892791801561,0.3617021276595745,0.01
5,4,0.1,128,0.4756438969764838,0.39534055364571835,0.3404255319148936,0.001
5,4,0.1,128,0.46668533034714443,0.3939613444368128,0.3191489361702128,0.0001
5,4,0.1,256,0.4812430011198208,0.39624014827153786,0.3404255319148936,0.1
5,4,0.1,256,0.503919372900336,0.40984941658268303,0.40425531914893614,0.01
5,4,0.1,256,0.46528555431131013,0.3916841319171909,0.3404255319148936,0.001
5,4,0.1,256,0.46836506159014557,0.39396907027198574,0.3191489361702128,0.0001
10,4,0.1,32,0.45660694288913767,0.40394973954817837,0.42553191489361697,0.1
10,4,0.1,32,0.469484882418813,0.4023967232999269,0.2978723404255319,0.01
10,4,0.1,32,0.48292273236282196,0.3595536907524347,0.3404255319148936,0.001
10,4,0.1,32,0.47004479283314665,0.39636814300523493,0.2978723404255319,0.0001
10,4,0.1,64,0.4493281075027996,0.3795040315767084,0.2978723404255319,0.1
10,4,0.1,64,0.515397536394177,0.39369935737458256,0.38297872340425526,0.01
10,4,0.1,64,0.46192609182530797,0.3636340946081937,0.2978723404255319,0.001
10,4,0.1,64,0.46976483762597987,0.39471207240783335,0.3191489361702128,0.0001
10,4,0.1,128,0.47396416573348266,0.3947455061476723,0.3404255319148936,0.1
10,4,0.1,128,0.5330347144456887,0.42092527950428926,0.40425531914893614,0.01
10,4,0.1,128,0.4736842105263158,0.3961966124342143,0.3404255319148936,0.001
10,4,0.1,128,0.46808510638297873,0.3938556810675275,0.3191489361702128,0.0001
10,4,0.1,256,0.4874020156774916,0.39766061245918305,0.3404255319148936,0.1
10,4,0.1,256,0.5310750279955209,0.4051569797783837,0.42553191489361697,0.01
10,4,0.1,256,0.48376259798432253,0.4007250860907569,0.3404255319148936,0.001
10,4,0.1,256,0.4708846584546472,0.3958246563589511,0.3191489361702128,0.0001
15,4,0.1,32,0.5260358342665175,0.40953584614872235,0.44680851063829785,0.1
15,4,0.1,32,0.49944008958566627,0.38896385307067094,0.38297872340425526,0.01
15,4,0.1,32,0.4994400895856663,0.3669945248341493,0.3404255319148936,0.001
15,4,0.1,32,0.467525195968645,0.39425045315568336,0.3191489361702128,0.0001
15,4,0.1,64,0.429451287793953,0.38596513114624137,0.3404255319148936,0.1
15,4,0.1,64,0.5355543113101904,0.4305995934013896,0.38297872340425526,0.01
15,4,0.1,64,0.45100783874580064,0.36188415322313644,0.3404255319148936,0.001
15,4,0.1,64,0.46472564389697646,0.3928450890632951,0.3191489361702128,0.0001
15,4,0.1,128,0.4896416573348264,0.39816300701053065,0.3617021276595745,0.1
15,4,0.1,128,0.5386338185890258,0.4117441334019456,0.42553191489361697,0.01
15,4,0.1,128,0.47060470324748044,0.3959971237959574,0.3191489361702128,0.001
15,4,0.1,128,0.4641657334826428,0.39214107031897316,0.3191489361702128,0.0001
15,4,0.1,256,0.4764837625979843,0.3962885029760402,0.2978723404255319,0.1
15,4,0.1,256,0.5251959686450167,0.41918105304349773,0.42553191489361697,0.01
15,4,0.1,256,0.4778835386338186,0.3983650613375663,0.3191489361702128,0.001
15,4,0.1,256,0.4664053751399776,0.39439631285701965,0.3191489361702128,0.0001
20,4,0.1,32,0.4907614781634938,0.3948345167081003,0.3617021276595745,0.1
20,4,0.1,32,0.5109182530795072,0.4141360988215984,0.38297872340425526,0.01
20,4,0.1,32,0.49132138857782753,0.3682142166220457,0.3191489361702128,0.001
20,4,0.1,32,0.469484882418813,0.3954486869319414,0.2978723404255319,0.0001
20,4,0.1,64,0.4594064949608063,0.378166227129234,0.3191489361702128,0.1
20,4,0.1,64,0.524636058230683,0.4053633734631884,0.42553191489361697,0.01
20,4,0.1,64,0.4566069428891377,0.36463459406084386,0.3191489361702128,0.001
20,4,0.1,64,0.4697648376259798,0.39484294376238976,0.3191489361702128,0.0001
