k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.8504479661449292,0.5393894069597669,0.4868913857677903,0.1
5,2,0.1,64,0.8496501335526812,0.48811470244675825,0.5037453183520599,0.01
5,2,0.1,64,0.9063625463669962,0.6332631780240776,0.5823970037453183,0.001
5,2,0.1,64,0.8611243146786588,0.5136484400223109,0.4868913857677903,0.0001
5,2,0.1,128,0.6087737987281874,0.2521349181939562,0.2696629213483146,0.1
5,2,0.1,128,0.8608664237210237,0.5076461762204997,0.5355805243445693,0.01
5,2,0.1,128,0.909315088812252,0.6408249326676864,0.5692883895131086,0.001
5,2,0.1,128,0.968487298168019,0.787177009033826,0.7303370786516854,0.0001
5,2,0.1,256,0.8030168185357861,0.5182639274634333,0.4700374531835206,0.1
5,2,0.1,256,0.8549731377632145,0.4944640106919292,0.49812734082397003,0.01
5,2,0.1,256,0.8569767089068457,0.5501989740114842,0.5037453183520599,0.001
5,2,0.1,256,0.8895063663669737,0.610834670904143,0.5393258426966292,0.0001
5,2,0.1,512,0.801789167680813,0.45684682897404805,0.4419475655430712,0.1
5,2,0.1,512,0.8409992684661726,0.4891021279781335,0.5,0.01
5,2,0.1,512,0.8729726905274797,0.5686565515528861,0.5243445692883895,0.001
5,2,0.1,512,0.8637515436936951,0.5781254541329344,0.5074906367041199,0.0001
5,2,0.3,64,0.8531858803857914,0.5634038883897247,0.49812734082397003,0.1
5,2,0.3,64,0.8368123329186852,0.48289227016651987,0.5093632958801498,0.01
5,2,0.3,64,0.9136941784066047,0.6425705185519712,0.601123595505618,0.001
5,2,0.3,64,0.8963980667729694,0.6096940118123564,0.5655430711610487,0.0001
5,2,0.3,128,0.7756539698913713,0.4591156832682818,0.42696629213483145,0.1
5,2,0.3,128,0.8661680774819055,0.5129220295629295,0.5355805243445693,0.01
5,2,0.3,128,0.9161472327007982,0.664944264482982,0.6067415730337079,0.001
5,2,0.3,128,0.9598015981373419,0.755615667156599,0.6891385767790262,0.0001
5,2,0.3,256,0.7593467211889728,0.4169645833352538,0.4157303370786517,0.1
5,2,0.3,256,0.8598202516880901,0.4956705201253084,0.5243445692883895,0.01
5,2,0.3,256,0.8740244810997954,0.5682294307380865,0.5224719101123596,0.001
5,2,0.3,256,0.8864746025164314,0.6031758201746377,0.5262172284644194,0.0001
5,2,0.3,512,0.7704085015243097,0.48919775687215716,0.47752808988764045,0.1
5,2,0.3,512,0.8579088245903241,0.49798137243939977,0.5037453183520599,0.01
5,2,0.3,512,0.8507311405297834,0.5391354881578336,0.5056179775280899,0.001
5,2,0.3,512,0.8628593196398292,0.5754780872026555,0.5037453183520599,0.0001
5,2,0.5,64,0.827894025357592,0.5572557973421708,0.5037453183520599,0.1
5,2,0.5,64,0.8575346298674813,0.49751586845672363,0.5318352059925093,0.01
5,2,0.5,64,0.8926297124094431,0.6039513483417623,0.5767790262172284,0.001
5,2,0.5,64,0.9088431315041617,0.6229708702143943,0.5917602996254682,0.0001
5,2,0.5,128,0.822891277891834,0.45844940629245384,0.47752808988764045,0.1
5,2,0.5,128,0.8611720722634061,0.5234139183280746,0.5337078651685393,0.01
5,2,0.5,128,0.9125839550247159,0.6443443254257912,0.5880149812734082,0.001
5,2,0.5,128,0.9622462246224622,0.7636717872336772,0.6985018726591761,0.0001
5,2,0.5,256,0.76440902517218,0.4297570352363538,0.45318352059925093,0.1
5,2,0.5,256,0.8612220772639062,0.518313696832373,0.5131086142322098,0.01
5,2,0.5,256,0.8607652900121474,0.5630630242447516,0.5262172284644194,0.001
5,2,0.5,256,0.901766019298559,0.6291570068605752,0.550561797752809,0.0001
5,2,0.5,512,0.6086074899624794,0.26944152547234623,0.23595505617977527,0.1
5,2,0.5,512,0.8536960437616795,0.4942375227778196,0.5149812734082397,0.01
5,2,0.5,512,0.8829130104021639,0.5834705900363648,0.5243445692883895,0.001
5,2,0.5,512,0.8622856667689242,0.5777108037375493,0.5074906367041199,0.0001
5,2,0.7,64,0.8535449050523028,0.563746884938023,0.49812734082397003,0.1
5,2,0.7,64,0.8577897115554254,0.5152165184073748,0.5280898876404494,0.01
5,2,0.7,64,0.903037494760712,0.6199283487098342,0.5823970037453183,0.001
