k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.7476055895745015,0.5251494937557343,0.48484848484848486,0.1
5,2,0.1,32,0.7731983042863871,0.5331711338562342,0.5151515151515151,0.01
5,2,0.1,32,0.7702151044119956,0.5179433305991972,0.5,0.001
5,2,0.1,32,0.7687235044747998,0.5338287368998527,0.5151515151515151,0.0001
5,2,0.1,64,0.7151829172554561,0.502697348843322,0.5,0.1
5,2,0.1,64,0.7700580938922909,0.5268436730575741,0.5,0.01
5,2,0.1,64,0.769744072852881,0.5292433541413643,0.5151515151515151,0.001
5,2,0.1,64,0.7690375255142096,0.5338557021671978,0.5151515151515151,0.0001
5,2,0.1,128,0.7731983042863871,0.5356079522289696,0.5303030303030303,0.1
5,2,0.1,128,0.7768095462395981,0.5300673858715885,0.5151515151515151,0.01
5,2,0.1,128,0.7684879886952426,0.5309105099876232,0.5151515151515151,0.001
5,2,0.1,128,0.7688020097346523,0.5338525294993501,0.5151515151515151,0.0001
5,2,0.1,256,0.7715496938294866,0.5361161132072392,0.5303030303030303,0.1
5,2,0.1,256,0.7680169571361282,0.5148003930370507,0.5151515151515151,0.01
5,2,0.1,256,0.7695870623331763,0.5339656684945904,0.5151515151515151,0.001
5,2,0.1,256,0.7695870623331763,0.5343139739962418,0.5151515151515151,0.0001
