k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.9761770138339176,0.9820224837383261,0.9288702928870293,0.1
5,2,0.1,64,0.9957028157864978,0.9952917105882124,0.9748953974895398,0.01
5,2,0.1,64,0.9846206038674659,0.9744558846072676,0.9623430962343096,0.001
5,2,0.1,64,0.9939311696633872,0.9935572560873381,0.9707112970711297,0.0001
5,2,0.1,128,0.991688341060726,0.9892984999923884,0.9707112970711297,0.1
5,2,0.1,128,0.9955143427946775,0.9955259837792283,0.9665271966527197,0.01
5,2,0.1,128,0.9856006634249312,0.9797614007851929,0.9623430962343096,0.001
5,2,0.1,128,0.9939688642617514,0.9935866841900216,0.9707112970711297,0.0001
5,2,0.1,256,0.9939877115609334,0.9936900915232669,0.9665271966527197,0.1
5,2,0.1,256,0.988917788080968,0.9863787682489183,0.9623430962343096,0.01
5,2,0.1,256,0.9933845979871084,0.9928690486395393,0.9665271966527197,0.001
5,2,0.1,256,0.9939688642617514,0.993586165982016,0.9707112970711297,0.0001
10,2,0.1,64,0.10701496475555053,0.39031580850107844,0.13807531380753138,0.1
10,2,0.1,64,0.9973990727128802,0.9975774213459636,0.9832635983263598,0.01
10,2,0.1,64,0.9860718459044819,0.9783774287248583,0.9665271966527197,0.001
10,2,0.1,64,0.9939311696633872,0.9935455938240734,0.9707112970711297,0.0001
10,2,0.1,128,0.9053111689094953,0.9310494855146333,0.8786610878661087,0.1
10,2,0.1,128,0.9950620076143089,0.9950834721288268,0.9707112970711297,0.01
10,2,0.1,128,0.9846017565682839,0.9798933286762406,0.9623430962343096,0.001
10,2,0.1,128,0.9939877115609334,0.9936075020169275,0.9707112970711297,0.0001
10,2,0.1,256,0.9943646575445739,0.9940191860482857,0.9748953974895398,0.1
10,2,0.1,256,0.9927060952165554,0.9926142955319093,0.9665271966527197,0.01
10,2,0.1,256,0.9935919182781108,0.9930998885640869,0.9665271966527197,0.001
10,2,0.1,256,0.9938934750650232,0.9935033093540989,0.9707112970711297,0.0001
15,2,0.1,64,0.9948358400241246,0.994959486041184,0.9623430962343096,0.1
15,2,0.1,64,0.9969278902333296,0.9971723547479822,0.9790794979079498,0.01
15,2,0.1,64,0.9862414715971202,0.9772603759214655,0.9665271966527197,0.001
15,2,0.1,64,0.9938934750650232,0.993504207431648,0.9665271966527197,0.0001
15,2,0.1,128,0.9928757209091937,0.991918854906403,0.9748953974895398,0.1
15,2,0.1,128,0.9961174563685025,0.9960729369737947,0.9748953974895398,0.01
15,2,0.1,128,0.9844886727731916,0.9780254119864975,0.9623430962343096,0.001
15,2,0.1,128,0.9939500169625693,0.993571393978327,0.9707112970711297,0.0001
15,2,0.1,256,0.9921218289419126,0.9905426341634567,0.9665271966527197,0.1
15,2,0.1,256,0.9912360058803573,0.9888667189106772,0.9790794979079498,0.01
15,2,0.1,256,0.9934599871838365,0.9929692316937444,0.9665271966527197,0.001
15,2,0.1,256,0.9938934750650231,0.9935137890098019,0.9707112970711297,0.0001
20,2,0.1,64,0.4270421048663726,0.5354126250598503,0.41004184100418406,0.1
20,2,0.1,64,0.9965132496513249,0.996445407430621,0.9748953974895398,0.01
20,2,0.1,64,0.9869388216668551,0.9783636497606898,0.9623430962343096,0.001
20,2,0.1,64,0.9939500169625693,0.9935729408856316,0.9707112970711297,0.0001
20,2,0.1,128,0.9866184175807609,0.9874136251028756,0.9539748953974896,0.1
20,2,0.1,128,0.9939123223642052,0.9939798637184989,0.9665271966527197,0.01
20,2,0.1,128,0.9835274605149081,0.977735266525948,0.9581589958158996,0.001
20,2,0.1,128,0.9939877115609334,0.9936026140181206,0.9707112970711297,0.0001
20,2,0.1,256,0.9942138791511176,0.9939475422776084,0.9707112970711297,0.1
20,2,0.1,256,0.9943458102453918,0.9945499858773332,0.9665271966527197,0.01
20,2,0.1,256,0.9932149722944702,0.9926160816446097,0.9665271966527197,0.001
20,2,0.1,256,0.9939500169625693,0.9935692428422485,0.9665271966527197,0.0001
25,2,0.1,64,0.9690715820422933,0.9767835890526447,0.9288702928870293,0.1
25,2,0.1,64,0.9960420671717742,0.9963808974674486,0.9665271966527197,0.01
25,2,0.1,64,0.9876738663349542,0.9802536378459901,0.9707112970711297,0.001
25,2,0.1,64,0.9939311696633872,0.9935455938240734,0.9707112970711297,0.0001
25,2,0.1,128,0.9722379283048739,0.963681920684234,0.9288702928870293,0.1
25,2,0.1,128,0.9962116928644126,0.9962477962214558,0.9832635983263598,0.01
25,2,0.1,128,0.9836782389083645,0.9772800481719962,0.9623430962343096,0.001
25,2,0.1,128,0.9938746277658411,0.9934973535519194,0.9707112970711297,0.0001
25,2,0.1,256,0.9934788344830185,0.9929826252121347,0.9665271966527197,0.1
25,2,0.1,256,0.9964378604545969,0.9965629909892108,0.9748953974895398,0.01
25,2,0.1,256,0.9932526668928342,0.9926405850807846,0.9665271966527197,0.001
25,2,0.1,256,0.9939500169625693,0.9935628567294664,0.9707112970711297,0.0001
5,4,0.1,64,0.9811338535187908,0.9810948881971533,0.9330543933054394,0.1
5,4,0.1,64,0.995099702212673,0.9951709400902754,0.9748953974895398,0.01
