k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,128,0.7364744002219095,0.407087448210967,0.4385775862068966,0.1
5,2,0.1,128,0.8036934541443845,0.5023004457224028,0.5385775862068966,0.01
5,2,0.1,128,0.7873346765519507,0.49826972211013054,0.5211206896551724,0.001
5,2,0.1,128,0.7967528413272295,0.4580213041099732,0.47435344827586207,0.0001
5,2,0.1,256,0.7560482459533613,0.4755204266133658,0.4875,0.1
5,2,0.1,256,0.7980706642752281,0.4984302040647837,0.5178879310344827,0.01
5,2,0.1,256,0.786686662414661,0.4875555885909463,0.5275862068965518,0.001
5,2,0.1,256,0.7774621848263785,0.45859301520943957,0.4879310344827586,0.0001
5,2,0.1,512,0.7734124679684344,0.49121983656337076,0.49008620689655175,0.1
5,2,0.1,512,0.7793300991987862,0.4812438262915306,0.509051724137931,0.01
5,2,0.1,512,0.7776610258403686,0.48298295976163097,0.506896551724138,0.001
5,2,0.1,512,0.7668865672162826,0.4763760532288668,0.49267241379310345,0.0001
5,2,0.7,128,0.7657585985175848,0.482602426965701,0.49181034482758623,0.1
5,2,0.7,128,0.8077522049416355,0.5119174948411174,0.5383620689655172,0.01
5,2,0.7,128,0.7910010052911052,0.5003987978219273,0.5288793103448276,0.001
5,2,0.7,128,0.7953705778513283,0.4562537681045845,0.45732758620689656,0.0001
5,2,0.7,256,0.7721616093903907,0.48935712693406164,0.4872844827586207,0.1
5,2,0.7,256,0.7911705390737925,0.4941552848248931,0.5200431034482759,0.01
5,2,0.7,256,0.7816002125688277,0.47998488541240303,0.5103448275862069,0.001
5,2,0.7,256,0.7778452427228435,0.4651709079791111,0.4997844827586207,0.0001
5,2,0.7,512,0.7627280774833661,0.4743638775852544,0.4713362068965517,0.1
5,2,0.7,512,0.7775346332456515,0.4811217539854487,0.509051724137931,0.01
5,2,0.7,512,0.7823930056081185,0.4560584859046511,0.5127155172413793,0.001
5,2,0.7,512,0.7699053653579799,0.48308785398085125,0.49073275862068966,0.0001
10,2,0.1,128,0.7721548870073554,0.48935487871914085,0.4872844827586207,0.1
10,2,0.1,128,0.7947630867107215,0.4833678716706069,0.5219827586206897,0.01
10,2,0.1,128,0.7829007460194057,0.4808565573809563,0.5239224137931034,0.001
10,2,0.1,128,0.7769605181471321,0.4411934229990967,0.4625,0.0001
10,2,0.1,256,0.7721597341993336,0.4893544195804524,0.4872844827586207,0.1
10,2,0.1,256,0.7942484941862,0.49203839946243944,0.5103448275862069,0.01
10,2,0.1,256,0.7841357893068348,0.4791749306687995,0.5140086206896551,0.001
10,2,0.1,256,0.7779070532658046,0.47941182477936506,0.49288793103448275,0.0001
10,2,0.1,512,0.7744909740803781,0.47966095747460014,0.49418103448275863,0.1
10,2,0.1,512,0.7820689395712015,0.4775287310433407,0.5038793103448276,0.01
10,2,0.1,512,0.7763899293512924,0.4815845194892133,0.5202586206896552,0.001
10,2,0.1,512,0.7699484947522955,0.48331345940793674,0.4894396551724138,0.0001
10,2,0.7,128,0.7706302269476513,0.465644211346657,0.49439655172413793,0.1
10,2,0.7,128,0.8061994641906911,0.5075469996846662,0.5407327586206897,0.01
10,2,0.7,128,0.7854992301102376,0.4733198807803993,0.5168103448275863,0.001
10,2,0.7,128,0.7984730519713329,0.4592223173087121,0.47672413793103446,0.0001
10,2,0.7,256,0.7631115717450457,0.479653097139545,0.4866379310344828,0.1
10,2,0.7,256,0.7948659273775063,0.495797757156689,0.5267241379310345,0.01
10,2,0.7,256,0.7805337123971122,0.47702668125937364,0.5125,0.001
10,2,0.7,256,0.7826443755590192,0.47432032641535415,0.49030172413793105,0.0001
10,2,0.7,512,0.7652083773629766,0.4712908592914658,0.4816810344827586,0.1
10,2,0.7,512,0.7724244309797601,0.4756977920332915,0.5049568965517242,0.01
10,2,0.7,512,0.7666206321021388,0.4632890080635256,0.4978448275862069,0.001
10,2,0.7,512,0.7738256940329771,0.48614423170242305,0.496551724137931,0.0001
15,2,0.1,128,0.7721931456223841,0.4893799078412787,0.4872844827586207,0.1
15,2,0.1,128,0.7958731762292761,0.4931679946730986,0.5275862068965518,0.01
15,2,0.1,128,0.7919295668803992,0.49603593249223066,0.5245689655172414,0.001
15,2,0.1,128,0.8024244333384911,0.46778697488938803,0.4818965517241379,0.0001
