k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.6275915084301658,0.6427000020821655,0.600297176820208,0.1
5,2,0.1,64,0.5693748505913069,0.6118996758366365,0.5468053491827637,0.01
5,2,0.1,64,0.5950825204719206,0.62899313156553,0.5661218424962853,0.001
5,2,0.1,64,0.5777393937405374,0.6139606382207871,0.5601783060921248,0.0001
5,2,0.1,128,0.46169512658138845,0.5063346255036371,0.475482912332838,0.1
5,2,0.1,128,0.549263854580226,0.5894451369289359,0.5334323922734027,0.01
5,2,0.1,128,0.632855381759718,0.6634420046113187,0.6017830609212481,0.001
5,2,0.1,128,0.559716603934546,0.603381628650126,0.5527488855869243,0.0001
5,2,0.1,256,0.5906623668211923,0.6485812024114674,0.563150074294205,0.1
5,2,0.1,256,0.5521957804641395,0.5892896259147413,0.5215453194650818,0.01
5,2,0.1,256,0.6092148250922231,0.6255432188492247,0.5824665676077266,0.001
5,2,0.1,256,0.5585353963841924,0.6029745223991775,0.5512630014858841,0.0001
10,2,0.1,64,0.511258970380752,0.5578494347580174,0.5170876671619614,0.1
10,2,0.1,64,0.5558636174012497,0.6093965226070049,0.5200594353640416,0.01
10,2,0.1,64,0.6301343857955104,0.6676126181907562,0.5928677563150074,0.001
10,2,0.1,64,0.5765160002062426,0.6142295051119936,0.5557206537890045,0.0001
10,2,0.1,128,0.6322788399791883,0.6560337943886718,0.6017830609212481,0.1
10,2,0.1,128,0.5737176632714762,0.6279679046101272,0.537890044576523,0.01
10,2,0.1,128,0.6220721755311919,0.6483321349446891,0.586924219910847,0.001
10,2,0.1,128,0.5626789974735282,0.6062617853192488,0.5527488855869243,0.0001
10,2,0.1,256,0.5408922804336719,0.5906583623482132,0.5289747399702823,0.1
10,2,0.1,256,0.560867343829831,0.6071740291454554,0.5468053491827637,0.01
10,2,0.1,256,0.6131709329195981,0.626197739564146,0.6032689450222882,0.001
10,2,0.1,256,0.5577619866786038,0.602719480080701,0.549777117384844,0.0001
15,2,0.1,64,0.5657070136541968,0.6124212256833002,0.5482912332838039,0.1
15,2,0.1,64,0.5585143033922219,0.5997732661390132,0.5408618127786032,0.01
15,2,0.1,64,0.5789862239325774,0.6128461100821214,0.5542347696879644,0.001
15,2,0.1,64,0.5743645150252412,0.6102639629267487,0.5586924219910847,0.0001
15,2,0.1,128,0.44947290956731245,0.4946763294536558,0.48291233283803864,0.1
15,2,0.1,128,0.5698435837462091,0.6190365750651484,0.5601783060921248,0.01
15,2,0.1,128,0.6219596795740153,0.6469028014690412,0.586924219910847,0.001
15,2,0.1,128,0.5607876591934977,0.6043980637516554,0.549777117384844,0.0001
15,2,0.1,256,0.5539769664527681,0.5684841507134218,0.5572065378900446,0.1
15,2,0.1,256,0.5696678088131208,0.6159912408080201,0.5453194650817236,0.01
15,2,0.1,256,0.6157255286138155,0.6309423460997624,0.600297176820208,0.001
15,2,0.1,256,0.5544527306049939,0.5999296988148544,0.5482912332838039,0.0001
20,2,0.1,64,0.5824150069606873,0.5947284298393853,0.5720653789004457,0.1
20,2,0.1,64,0.5629063330536558,0.5975769095193417,0.537890044576523,0.01
20,2,0.1,64,0.5881429261135929,0.620076248303488,0.5646359583952452,0.001
20,2,0.1,64,0.5776714274330766,0.6128324685496915,0.5512630014858841,0.0001
20,2,0.1,128,0.5623626025939693,0.6069453606080351,0.5586924219910847,0.1
20,2,0.1,128,0.5506348990583151,0.5909266991811728,0.5364041604754829,0.01
20,2,0.1,128,0.6281422698871759,0.6476813700864799,0.5988112927191679,0.001
20,2,0.1,128,0.5631852292808228,0.6069596420413339,0.5572065378900446,0.0001
20,2,0.1,256,0.4887785282716403,0.5169625795565612,0.512630014858841,0.1
20,2,0.1,256,0.5763964732517426,0.614658411818927,0.563150074294205,0.01
20,2,0.1,256,0.6051954382889365,0.6213935519941499,0.5794947994056464,0.001
20,2,0.1,256,0.559290056763585,0.6033394204306322,0.5482912332838039,0.0001
25,2,0.1,64,0.44216535968238646,0.48670024706759185,0.4576523031203566,0.1
25,2,0.1,64,0.5595408290014577,0.6032215501706177,0.5364041604754829,0.01
25,2,0.1,64,0.580882249544157,0.6139534574419427,0.5512630014858841,0.001
25,2,0.1,64,0.5775378384839295,0.6168432404044026,0.563150074294205,0.0001
25,2,0.1,128,0.5535808869368758,0.5829426200632652,0.5274888558692422,0.1
25,2,0.1,128,0.5647765783417158,0.5985769579503049,0.5319465081723626,0.01
25,2,0.1,128,0.6258970380751941,0.649477811021324,0.5824665676077266,0.001
