k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.47530727727332545,0.048640187114686914,0.0,0.1
5,2,0.1,64,0.9638715620476378,0.42208238113525726,0.4866666666666667,0.01
5,2,0.1,64,0.9654375575733649,0.42524924130712655,0.47333333333333333,0.001
5,2,0.1,64,0.8410290827740492,0.14726876050183216,0.02,0.0001
5,2,0.1,128,0.28721673904461115,0.03593797716067435,0.0,0.1
5,2,0.1,128,0.970143439926306,0.46084570764583105,0.5133333333333333,0.01
5,2,0.1,128,0.943587314120279,0.31814307790222035,0.32,0.001
5,2,0.1,128,0.7007527306224502,0.08192135953017544,0.006666666666666668,0.0001
5,2,0.1,256,0.4765732333201737,0.049605436368857905,0.006666666666666668,0.1
5,2,0.1,256,0.9615396762731939,0.4014088189321166,0.46,0.01
5,2,0.1,256,0.9310382945124358,0.2843142183765407,0.2733333333333333,0.001
5,2,0.1,256,0.6074825634951967,0.0637736718138393,0.006666666666666668,0.0001
5,2,0.1,512,0.4134991446242927,0.04355835732975219,0.006666666666666668,0.1
5,2,0.1,512,0.9709461771285696,0.4672002553381984,0.5466666666666666,0.01
5,2,0.1,512,0.8553230688248453,0.1581150995472532,0.06,0.001
5,2,0.1,512,0.5800236873272798,0.05980508480368758,0.006666666666666668,0.0001
10,2,0.1,64,0.6646190288195815,0.07746725162301862,0.053333333333333344,0.1
10,2,0.1,64,0.9644663771548888,0.4313254743400096,0.5066666666666667,0.01
10,2,0.1,64,0.9398710356625872,0.2987931335558226,0.24,0.001
10,2,0.1,64,0.804769048559021,0.12229659395083405,0.013333333333333336,0.0001
10,2,0.1,128,0.4889669693380708,0.05735301939099527,0.07333333333333333,0.1
10,2,0.1,128,0.9672825371759443,0.43968038461798303,0.5133333333333333,0.01
10,2,0.1,128,0.9409659165679695,0.30738460726234157,0.29333333333333333,0.001
10,2,0.1,128,0.7112804316357416,0.0851688271983852,0.006666666666666668,0.0001
10,2,0.1,256,0.5925384919068298,0.061274292859755955,0.006666666666666668,0.1
10,2,0.1,256,0.959771022502961,0.39748389988822747,0.44666666666666666,0.01
10,2,0.1,256,0.9304276878536649,0.2739583006758294,0.24,0.001
10,2,0.1,256,0.6037373338597184,0.06325009850285043,0.006666666666666668,0.0001
10,2,0.1,512,0.3150940913278063,0.03730595524619823,0.0,0.1
10,2,0.1,512,0.9592499013028029,0.39462969571986733,0.43333333333333335,0.01
10,2,0.1,512,0.8680089485458614,0.17286641405384068,0.06666666666666667,0.001
10,2,0.1,512,0.589530201342282,0.061126695606336226,0.006666666666666668,0.0001
15,2,0.1,64,0.7135228319515725,0.085673487122233,0.006666666666666668,0.1
15,2,0.1,64,0.9729306487695749,0.4795740585458214,0.58,0.01
15,2,0.1,64,0.9538228714304514,0.3595335185846695,0.38,0.001
15,2,0.1,64,0.8435846821950257,0.1474238710739141,0.02,0.0001
15,2,0.1,128,0.5126306092906961,0.05516786479408484,0.04,0.1
15,2,0.1,128,0.9764495328332676,0.5215352034556854,0.6,0.01
15,2,0.1,128,0.9473167522042374,0.3313466345006724,0.3466666666666667,0.001
15,2,0.1,128,0.7401026450848796,0.09385416894969283,0.006666666666666668,0.0001
15,2,0.1,256,0.6149414396631135,0.08635866148985365,0.10000000000000002,0.1
15,2,0.1,256,0.9617054875641531,0.40496437118732137,0.4533333333333333,0.01
15,2,0.1,256,0.9611738386629819,0.4009275877064361,0.4666666666666667,0.001
15,2,0.1,256,0.5955178312935913,0.062169352402162106,0.006666666666666668,0.0001
15,2,0.1,512,0.6227266745624424,0.0657457542687887,0.006666666666666668,0.1
15,2,0.1,512,0.9602158178707724,0.39706724916054764,0.4533333333333333,0.01
15,2,0.1,512,0.8839426240294777,0.18901253065410428,0.08666666666666667,0.001
15,2,0.1,512,0.5964547966837742,0.06213400468706106,0.006666666666666668,0.0001
20,2,0.1,64,0.5584787472035795,0.057685187514923617,0.0,0.1
20,2,0.1,64,0.9677641794973022,0.4551107568269228,0.54,0.01
20,2,0.1,64,0.9449848664297934,0.32438209436707965,0.32666666666666666,0.001
20,2,0.1,64,0.8218318199763127,0.1319375823306231,0.013333333333333336,0.0001
20,2,0.1,128,0.5428845900776418,0.05500827127625527,0.0,0.1
20,2,0.1,128,0.9640742202921436,0.41544069524094,0.46,0.01
20,2,0.1,128,0.9464034741413343,0.3229911095540233,0.2866666666666667,0.001
20,2,0.1,128,0.7306435057244374,0.09075079237926721,0.006666666666666668,0.0001
20,2,0.1,256,0.47742597710225027,0.05176240662815453,0.0,0.1
20,2,0.1,256,0.9547203579418344,0.3716527280488092,0.4000000000000001,0.01
20,2,0.1,256,0.9226661402816161,0.2547635447534221,0.20666666666666667,0.001
20,2,0.1,256,0.613975523095144,0.0648622580330271,0.006666666666666668,0.0001
20,2,0.1,512,0.6304329517041716,0.06770521666567716,0.0,0.1
20,2,0.1,512,0.9641505461244899,0.4239559514099774,0.52,0.01
20,2,0.1,512,0.8723779444663772,0.1741519994772853,0.053333333333333344,0.001
20,2,0.1,512,0.5854296617976049,0.06055961230922707,0.006666666666666668,0.0001
5,4,0.1,64,0.4561468614291354,0.04812869216180453,0.013333333333333336,0.1
5,4,0.1,64,0.9712172654296618,0.47786870417434935,0.5733333333333334,0.01
5,4,0.1,64,0.9471193578102381,0.3450323104654352,0.38666666666666666,0.001
5,4,0.1,64,0.77419397289117,0.10888385346802634,0.013333333333333336,0.0001
5,4,0.1,128,0.5279141992367418,0.06453568174538607,0.10000000000000002,0.1
5,4,0.1,128,0.9576786419265693,0.3792899057122496,0.4000000000000001,0.01
5,4,0.1,128,0.9621292275299381,0.4109750661325769,0.5,0.001
5,4,0.1,128,0.7305908672193709,0.09091936038187359,0.006666666666666668,0.0001
5,4,0.1,256,0.5748888011580471,0.06462224111985465,0.06666666666666667,0.1
5,4,0.1,256,0.9613501776549546,0.40495815768542337,0.4666666666666667,0.01
5,4,0.1,256,0.9564442689827608,0.375543066380371,0.4066666666666667,0.001
5,4,0.1,256,0.6007395709961838,0.06281243295268815,0.006666666666666668,0.0001
5,4,0.1,512,0.20320305303329383,0.033343748501100036,0.02,0.1
