k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.9651169007737371,0.4395909069107883,0.5064102564102564,0.1
5,2,0.1,64,0.9989039359012549,0.9789828236346168,0.9358974358974359,0.01
5,2,0.1,64,0.9972617492724731,0.9400140910014225,0.8846153846153846,0.001
5,2,0.1,64,0.9592814096835545,0.36390367612931734,0.3974358974358974,0.0001
5,2,0.1,128,0.7517491197115862,0.12821492604523801,0.1794871794871795,0.1
5,2,0.1,128,0.9976665673716612,0.9375373068551286,0.8910256410256411,0.01
5,2,0.1,128,0.9750311251651734,0.5621649998403302,0.5705128205128205,0.001
5,2,0.1,128,0.848338336273993,0.15721324205650955,0.12179487179487179,0.0001
5,2,0.1,256,0.5917829563942163,0.06232372832200973,0.0641025641025641,0.1
5,2,0.1,256,0.9967309028971227,0.9413724866693992,0.8782051282051282,0.01
5,2,0.1,256,0.9783403221741024,0.5558090343709644,0.6025641025641025,0.001
5,2,0.1,256,0.9347154434285802,0.43750039440062327,0.5064102564102564,0.0001
10,2,0.1,64,0.9472151570006797,0.3964930122284081,0.4358974358974359,0.1
10,2,0.1,64,0.9993087540004431,0.9848246533026963,0.9294871794871795,0.01
10,2,0.1,64,0.997345768123248,0.9382637646079075,0.8910256410256411,0.001
10,2,0.1,64,0.937776402923856,0.26413482619212425,0.18589743589743593,0.0001
10,2,0.1,128,0.7898726732506894,0.13068890809454634,0.14102564102564102,0.1
10,2,0.1,128,0.9988027313764579,0.976578187135606,0.9230769230769231,0.01
10,2,0.1,128,0.9937291385012564,0.8291436333488968,0.8076923076923077,0.001
10,2,0.1,128,0.8587318500187132,0.2289241418687072,0.2692307692307692,0.0001
10,2,0.1,256,0.5851168243929639,0.05333993583101075,0.02564102564102564,0.1
10,2,0.1,256,0.9985774080948343,0.975541936788856,0.9230769230769231,0.01
10,2,0.1,256,0.9891768444047264,0.7122374559478338,0.7243589743589743,0.001
10,2,0.1,256,0.8607521214759819,0.2904571008650632,0.3974358974358974,0.0001
15,2,0.1,64,0.9009761462844573,0.19997480337171675,0.17307692307692307,0.1
15,2,0.1,64,0.9990127785033951,0.9787155168209518,0.9038461538461539,0.01
15,2,0.1,64,0.9981534948022884,0.9444117783944275,0.9038461538461539,0.001
15,2,0.1,64,0.919870840112127,0.2350856074889669,0.16666666666666666,0.0001
15,2,0.1,128,0.7464406559580823,0.10325033359908437,0.12179487179487179,0.1
15,2,0.1,128,0.9994328727572696,0.9880694912199176,0.9358974358974359,0.01
15,2,0.1,128,0.992673174308563,0.7911221264921541,0.8012820512820514,0.001
