k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.6724265493838185,0.7795129606922024,0.6365422396856582,0.1
5,2,0.1,64,0.826512100375067,0.8588665360905113,0.7372298624754421,0.01
5,2,0.1,64,0.8171999464190034,0.8639062976594912,0.7387033398821218,0.001
5,2,0.1,64,0.7791165833184497,0.8243114793807483,0.7082514734774067,0.0001
5,2,0.1,128,0.583999374888373,0.5986088654051196,0.5333988212180747,0.1
5,2,0.1,128,0.8239312823718521,0.8516627466174269,0.7352652259332023,0.01
5,2,0.1,128,0.8155498749776746,0.8600348561368503,0.7342829076620825,0.001
5,2,0.1,128,0.6535995267011967,0.7319855898665,0.5545186640471512,0.0001
5,2,0.1,256,0.6667366940525093,0.6833959356097221,0.6404715127701375,0.1
5,2,0.1,256,0.8231608322914805,0.8566353993253477,0.737721021611002,0.01
5,2,0.1,256,0.8080873816752993,0.8496680429511467,0.7347740667976425,0.001
5,2,0.1,256,0.6689864261475263,0.7810785122976549,0.6316306483300589,0.0001
5,2,0.1,512,0.6990100910876941,0.7208979511105151,0.6556974459724951,0.1
5,2,0.1,512,0.814697267369173,0.8570784563050687,0.737721021611002,0.01
5,2,0.1,512,0.7799566886944098,0.8237004408521946,0.7072691552062869,0.001
5,2,0.1,512,0.6674156099303448,0.7789845618955059,0.6281925343811395,0.0001
10,2,0.1,64,0.667435256295767,0.7708330004272547,0.6281925343811395,0.1
10,2,0.1,64,0.8221108680121451,0.8539610033676335,0.7323182711198429,0.01
10,2,0.1,64,0.8166670387569208,0.8628729341397281,0.7337917485265226,0.001
10,2,0.1,64,0.7859698160385784,0.8277274589513596,0.7151277013752456,0.0001
10,2,0.1,128,0.5254353455974281,0.5640161197389347,0.4823182711198429,0.1
10,2,0.1,128,0.832749821396678,0.8602557006476903,0.7391944990176817,0.01
10,2,0.1,128,0.8195195570637615,0.8620810647399033,0.7347740667976425,0.001
10,2,0.1,128,0.6566962850509019,0.733448574729049,0.5545186640471512,0.0001
10,2,0.1,256,0.6049533398821219,0.6063559226242893,0.556483300589391,0.1
10,2,0.1,256,0.8205759957135202,0.8549388361465624,0.7303536345776032,0.01
10,2,0.1,256,0.8122939364172174,0.8531379599336629,0.7352652259332023,0.001
10,2,0.1,256,0.671446910162529,0.7828355388344738,0.6340864440078585,0.0001
10,2,0.1,512,0.5541773084479371,0.5301713660650547,0.518664047151277,0.1
10,2,0.1,512,0.8105833631005537,0.8506870571075985,0.7283889980353635,0.01
10,2,0.1,512,0.7797024022146812,0.8277941821187618,0.7082514734774067,0.001
10,2,0.1,512,0.6677328540810858,0.7794817695824081,0.6286836935166994,0.0001
15,2,0.1,64,0.6620331755670655,0.7477113584205379,0.6252455795677799,0.1
15,2,0.1,64,0.8315755045543848,0.8602765110682069,0.7391944990176817,0.01
15,2,0.1,64,0.8158856492230755,0.8650723630919114,0.7352652259332023,0.001
15,2,0.1,64,0.7875265672441507,0.8321325528907408,0.7111984282907662,0.0001
15,2,0.1,128,0.6560731827111984,0.7419277195739826,0.6075638506876228,0.1
15,2,0.1,128,0.8289140918021075,0.8612361272720506,0.7382121807465619,0.01
15,2,0.1,128,0.8179735220575103,0.8621060483986442,0.7347740667976425,0.001
15,2,0.1,128,0.6574649490980533,0.7315830527048172,0.5491159135559921,0.0001
15,2,0.1,256,0.5492735309876764,0.519191875075514,0.518172888015717,0.1
15,2,0.1,256,0.8216335506340419,0.8565576925473887,0.7283889980353635,0.01
15,2,0.1,256,0.8103261743168423,0.85208692258939,0.731827111984283,0.001
15,2,0.1,256,0.6713361761028755,0.7825786900322365,0.6350687622789783,0.0001
15,2,0.1,512,0.6577147704947311,0.7164624397403256,0.631139489194499,0.1
15,2,0.1,512,0.8094103857831755,0.8504692195690347,0.7269155206286838,0.01
15,2,0.1,512,0.7939763797106627,0.8400455835314643,0.7293713163064833,0.001
15,2,0.1,512,0.6677337470976961,0.7792319667217,0.6291748526522594,0.0001
20,2,0.1,64,0.7200622879085552,0.7824844726697515,0.6669941060903732,0.1
20,2,0.1,64,0.8320956867297732,0.8630061279103689,0.7367387033398821,0.01
20,2,0.1,64,0.8188290319699947,0.8659127596752401,0.7333005893909627,0.001
20,2,0.1,64,0.7881813716735131,0.830402080775517,0.7107072691552062,0.0001
20,2,0.1,128,0.6824593677442401,0.6999082636910754,0.6321218074656189,0.1
20,2,0.1,128,0.8175446508305055,0.8544768955781398,0.7274066797642437,0.01
20,2,0.1,128,0.8159541882479013,0.8623326524316175,0.7406679764243614,0.001
20,2,0.1,128,0.6530987676370781,0.731277395515124,0.5535363457760314,0.0001
20,2,0.1,256,0.6679404804429362,0.7589374642473372,0.631139489194499,0.1
20,2,0.1,256,0.8214277103054117,0.8578665681197133,0.7293713163064833,0.01
20,2,0.1,256,0.8159204768708698,0.856068675553871,0.7367387033398821,0.001
20,2,0.1,256,0.6604304340060725,0.7753503419120396,0.6252455795677799,0.0001
20,2,0.1,512,0.5106717717449545,0.6217402440297191,0.4395874263261297,0.1
20,2,0.1,512,0.8073988658689052,0.8513084918776341,0.7328094302554028,0.01
20,2,0.1,512,0.7972468297910341,0.8401881525216535,0.7239685658153243,0.001
20,2,0.1,512,0.6670488033577424,0.7787255321743967,0.6272102161100196,0.0001
5,4,0.1,64,0.6660966243972137,0.7790197580690166,0.6257367387033399,0.1
5,4,0.1,64,0.8307912127165566,0.8643003360367194,0.7347740667976425,0.01
5,4,0.1,64,0.8268302375424182,0.870678907893045,0.7411591355599214,0.001
5,4,0.1,64,0.7784108769423113,0.8256340320601234,0.7102161100196464,0.0001
5,4,0.1,128,0.669900428647973,0.7690108556813077,0.6301571709233792,0.1
5,4,0.1,128,0.8176522593320236,0.8543234582620662,0.7328094302554028,0.01
5,4,0.1,128,0.8156405161636007,0.8612786139754172,0.7387033398821218,0.001
5,4,0.1,128,0.6511615913555993,0.7315190331421526,0.5540275049115914,0.0001
5,4,0.1,256,0.6172093230934096,0.6321367475805646,0.5893909626719057,0.1
5,4,0.1,256,0.803582336131452,0.844252322785522,0.7234774066797642,0.01
5,4,0.1,256,0.809262814788355,0.8527496191117685,0.7357563850687623,0.001
5,4,0.1,256,0.671631094838364,0.7830581078347499,0.6350687622789783,0.0001
5,4,0.1,512,0.4382914359707091,0.4535367624895712,0.4273084479371317,0.1
5,4,0.1,512,0.8160553223789961,0.8568524350498268,0.7352652259332023,0.01
5,4,0.1,512,0.7865732720128593,0.8298111224378633,0.7131630648330057,0.001
5,4,0.1,512,0.6664071709233792,0.7781506145318821,0.6277013752455796,0.0001
10,4,0.1,64,0.6225272370066084,0.6097919257038986,0.5962671905697446,0.1
10,4,0.1,64,0.8357778174674049,0.8694632116334086,0.7391944990176817,0.01
10,4,0.1,64,0.8175564833005895,0.8693450206055301,0.737721021611002,0.001
10,4,0.1,64,0.7806137256652974,0.82706523006842,0.7102161100196464,0.0001
10,4,0.1,128,0.6494952223611359,0.74084344452343,0.6178781925343811,0.1
10,4,0.1,128,0.8136546704768708,0.8526195775571698,0.724950884086444,0.01
10,4,0.1,128,0.8145595195570637,0.8623506338054938,0.7362475442043221,0.001
10,4,0.1,128,0.6641750759064119,0.7380116442935278,0.56237721021611,0.0001
10,4,0.1,256,0.5780070101803894,0.5707388530187124,0.5309430255402751,0.1
10,4,0.1,256,0.8144606179674942,0.8550380441934408,0.7303536345776032,0.01
10,4,0.1,256,0.8109876763707806,0.8549150604748625,0.737721021611002,0.001
10,4,0.1,256,0.6642989819610645,0.7780612425349169,0.6272102161100196,0.0001
10,4,0.1,512,0.562586399357028,0.5895630792745417,0.5260314341846758,0.1
10,4,0.1,512,0.8088285854616897,0.8504463198156236,0.7239685658153243,0.01
10,4,0.1,512,0.7911930701911055,0.8330014226730472,0.7215127701375246,0.001
