k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.9822395643926363,0.7920568561032344,0.8450704225352113,0.1
5,2,0.1,64,0.993360722604995,0.9099625128069078,0.8169014084507042,0.01
5,2,0.1,64,0.9938324995331375,0.9098623539740558,0.8450704225352113,0.001
5,2,0.1,64,0.9987320995056171,0.9740549749362805,0.9295774647887324,0.0001
5,2,0.1,128,0.9666610970779317,0.7311012793683657,0.676056338028169,0.1
5,2,0.1,128,0.9934983242090365,0.8920043311028484,0.7887323943661971,0.01
5,2,0.1,128,0.9958817805647563,0.933907663880325,0.8873239436619719,0.001
5,2,0.1,128,0.9907266347561994,0.9631506122647364,0.9154929577464789,0.0001
5,2,0.1,256,0.6789164856550327,0.07317328920226988,0.04225352112676056,0.1
5,2,0.1,256,0.9969039639090651,0.9292200028660564,0.8169014084507042,0.01
5,2,0.1,256,0.9965796172709671,0.9312424704690752,0.8450704225352113,0.001
5,2,0.1,256,0.9883136923424708,0.9542292795366462,0.9014084507042254,0.0001
5,2,0.1,512,0.47948261796880376,0.02190016533647631,0.0,0.1
5,2,0.1,512,0.9943927346353066,0.8937761309705697,0.8309859154929577,0.01
5,2,0.1,512,0.9991498186607433,0.9768499626801517,0.9154929577464789,0.001
5,2,0.1,512,0.9830307736158754,0.9246989619191632,0.8873239436619719,0.0001
10,2,0.1,64,0.9009759885200948,0.3773781692830486,0.352112676056338,0.1
10,2,0.1,64,0.9905792044661549,0.9311000316817931,0.8732394366197183,0.01
10,2,0.1,64,0.996122583371829,0.9263114316323482,0.8450704225352113,0.001
10,2,0.1,64,0.9984028385245177,0.9633783730586185,0.9014084507042254,0.0001
10,2,0.1,128,0.9769566456660408,0.3968656572672145,0.352112676056338,0.1
10,2,0.1,128,0.9926579715557826,0.9128703766468903,0.8169014084507042,0.01
10,2,0.1,128,0.9949824557954847,0.9269137441043737,0.8309859154929577,0.001
10,2,0.1,128,0.9899550829049665,0.9625567583617893,0.9154929577464789,0.0001
10,2,0.1,256,0.9729416274338284,0.7647376575503431,0.676056338028169,0.1
10,2,0.1,256,0.9944271350363171,0.9025136894725957,0.8450704225352113,0.01
10,2,0.1,256,0.9965206451549493,0.9377803959730393,0.8450704225352113,0.001
10,2,0.1,256,0.9880630608493951,0.9545456019532677,0.9014084507042254,0.0001
10,2,0.1,512,0.7763236782874499,0.08859676567215176,0.09859154929577464,0.1
10,2,0.1,512,0.9954050892936124,0.89524300589025,0.7746478873239436,0.01
10,2,0.1,512,0.9992972489507878,0.9814549125938681,0.9154929577464789,0.001
10,2,0.1,512,0.9827752277797981,0.925624821441975,0.9014084507042254,0.0001
15,2,0.1,64,0.9077872679201517,0.30451429423660464,0.3802816901408451,0.1
15,2,0.1,64,0.9915178439794384,0.9138949483403005,0.8309859154929577,0.01
15,2,0.1,64,0.9942453043452621,0.9040349344469766,0.8591549295774648,0.001
15,2,0.1,64,0.9988156433366423,0.9791851037609961,0.9436619718309859,0.0001
15,2,0.1,128,0.976592984283931,0.6612691726976447,0.6338028169014085,0.1
15,2,0.1,128,0.9938570712481449,0.9398178790374576,0.8591549295774648,0.01
15,2,0.1,128,0.9948448541914432,0.8946014756258237,0.8028169014084506,0.001
15,2,0.1,128,0.9907069773841937,0.9632016136899748,0.9154929577464789,0.0001
15,2,0.1,256,0.9828145425238101,0.7279651168050016,0.8450704225352113,0.1
15,2,0.1,256,0.9921223081686209,0.8887622481663896,0.8028169014084506,0.01
15,2,0.1,256,0.99771483050431,0.9417231500861538,0.8732394366197183,0.001
15,2,0.1,256,0.9887854692706132,0.9520963406405233,0.9014084507042254,0.0001
15,2,0.1,512,0.9103427262809235,0.1406045490886186,0.11267605633802817,0.1
15,2,0.1,512,0.9960734399418142,0.893609900649639,0.8169014084507042,0.01
15,2,0.1,512,0.9991350756317389,0.9741306856759063,0.9014084507042254,0.001
15,2,0.1,512,0.9829963732148649,0.9240621778133541,0.8873239436619719,0.0001
20,2,0.1,64,0.9712854938423283,0.5562964110907845,0.4507042253521127,0.1
20,2,0.1,64,0.9908937224182499,0.8881344377345989,0.8028169014084506,0.01
20,2,0.1,64,0.9933312365469861,0.9060723917561377,0.8450704225352113,0.001
20,2,0.1,64,0.998162035717445,0.9559367233279702,0.8873239436619719,0.0001
20,2,0.1,128,0.9818857316965295,0.8658761526703215,0.8169014084507042,0.1
20,2,0.1,128,0.9944418780653215,0.9172335600526605,0.7887323943661971,0.01
20,2,0.1,128,0.9945352505823497,0.9286587548687493,0.8732394366197183,0.001
20,2,0.1,128,0.9910853817953078,0.9633135367435186,0.9014084507042254,0.0001
20,2,0.1,256,0.927066235514974,0.21474621224635693,0.30985915492957744,0.1
20,2,0.1,256,0.9935622106680558,0.9075925656642613,0.8309859154929577,0.01
20,2,0.1,256,0.9972774539771778,0.9272776521098839,0.8028169014084506,0.001
20,2,0.1,256,0.9863577838278801,0.9525736184539271,0.9014084507042254,0.0001
20,2,0.1,512,0.9828096281808085,0.9163503449880268,0.8732394366197183,0.1
20,2,0.1,512,0.9924122544057085,0.9071476928879808,0.8450704225352113,0.01
20,2,0.1,512,0.9992874202647849,0.9782587611371646,0.9014084507042254,0.001
20,2,0.1,512,0.9828292855528146,0.9231762136013155,0.8873239436619719,0.0001
5,4,0.1,64,0.9837138672930816,0.9454904858883417,0.9154929577464789,0.1
5,4,0.1,64,0.993036375966897,0.9190562541620061,0.8309859154929577,0.01
5,4,0.1,64,0.996304414062884,0.9355615337404491,0.8873239436619719,0.001
5,4,0.1,64,0.9988303863656468,0.9768687505929706,0.9436619718309859,0.0001
