k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.9706755493221132,0.6933574212552247,0.6559139784946236,0.1
5,2,0.1,64,0.9616818606825619,0.6679960033046366,0.5913978494623656,0.01
5,2,0.1,64,0.9853143992519869,0.7786411189105351,0.6881720430107527,0.001
5,2,0.1,64,0.9582573632538569,0.5842357254237922,0.5376344086021505,0.0001
5,2,0.1,128,0.8934256661991585,0.30653685202254816,0.3333333333333333,0.1
5,2,0.1,128,0.9671750818139319,0.6608498472597784,0.5806451612903226,0.01
5,2,0.1,128,0.9769810659186535,0.7672692491987071,0.6989247311827957,0.001
5,2,0.1,128,0.9839820009350164,0.8060316190159512,0.7311827956989246,0.0001
5,2,0.1,256,0.9800841514726508,0.7727103939916253,0.6989247311827957,0.1
5,2,0.1,256,0.9635168302945303,0.6743567363809999,0.5698924731182796,0.01
5,2,0.1,256,0.9701905095839177,0.7693675697009043,0.6989247311827957,0.001
5,2,0.1,256,0.9852501168770453,0.8121065285379827,0.7419354838709677,0.0001
5,2,0.1,512,0.9832281439925199,0.7753515783138346,0.7096774193548389,0.1
5,2,0.1,512,0.9578599812996728,0.6087772591939247,0.5483870967741935,0.01
5,2,0.1,512,0.956130201028518,0.5613360785027692,0.5268817204301075,0.001
5,2,0.1,512,0.98544296400187,0.8130791698920171,0.7419354838709677,0.0001
10,2,0.1,64,0.9693840579710145,0.6236448510760484,0.5913978494623656,0.1
10,2,0.1,64,0.957766479663394,0.6551686592765057,0.6021505376344086,0.01
10,2,0.1,64,0.9788043478260869,0.7655005605330599,0.6989247311827957,0.001
10,2,0.1,64,0.9727910238429173,0.7449986678558342,0.6989247311827957,0.0001
10,2,0.1,128,0.9544705469845722,0.6211405036698995,0.6129032258064516,0.1
10,2,0.1,128,0.9586839644693782,0.6414881227026471,0.5913978494623656,0.01
10,2,0.1,128,0.9790614773258532,0.7766999216481872,0.7419354838709677,0.001
10,2,0.1,128,0.9840813464235625,0.8084156510267994,0.7311827956989246,0.0001
10,2,0.1,256,0.9851858345021038,0.8165736567052116,0.7419354838709677,0.1
10,2,0.1,256,0.9667017297802711,0.660348666470538,0.5806451612903226,0.01
10,2,0.1,256,0.9802769985974754,0.8341106508843467,0.7526881720430108,0.001
10,2,0.1,256,0.9842741935483871,0.8072467628285787,0.7311827956989246,0.0001
10,2,0.1,512,0.865205703599813,0.47690297357557554,0.46236559139784944,0.1
10,2,0.1,512,0.9688405797101448,0.6627077103579915,0.5698924731182796,0.01
10,2,0.1,512,0.9616467975689574,0.6101517447288046,0.5806451612903226,0.001
10,2,0.1,512,0.985513090229079,0.8136911726859752,0.7419354838709677,0.0001
15,2,0.1,64,0.9882889200561009,0.8227361892864977,0.7096774193548389,0.1
15,2,0.1,64,0.9662985039738194,0.6826823202678894,0.6451612903225806,0.01
15,2,0.1,64,0.9821820944366526,0.7690312650614449,0.7096774193548389,0.001
15,2,0.1,64,0.9882480130902291,0.8190491953511521,0.7419354838709677,0.0001
15,2,0.1,128,0.982199625993455,0.7640703595434294,0.6881720430107527,0.1
15,2,0.1,128,0.9615942028985507,0.6533182182080717,0.5698924731182796,0.01
15,2,0.1,128,0.9745091164095372,0.7766223144937509,0.7311827956989246,0.001
15,2,0.1,128,0.9826028517999065,0.8036291627138568,0.7311827956989246,0.0001
15,2,0.1,256,0.9225222066386162,0.7089823034379363,0.6666666666666666,0.1
15,2,0.1,256,0.9729721832632071,0.6915760081685773,0.6021505376344086,0.01
15,2,0.1,256,0.9831580177653109,0.8085280912323307,0.7419354838709677,0.001
15,2,0.1,256,0.9857877512856474,0.8158138844025793,0.7419354838709677,0.0001
15,2,0.1,512,0.9775771388499298,0.739636745221838,0.6881720430107527,0.1
15,2,0.1,512,0.9691503038803179,0.6503720311594091,0.5483870967741935,0.01
15,2,0.1,512,0.9704943899018232,0.6488982845731371,0.6344086021505376,0.001
15,2,0.1,512,0.9851507713884993,0.8125122405136433,0.7419354838709677,0.0001
20,2,0.1,64,0.9782258064516128,0.6795392562304086,0.6451612903225806,0.1
20,2,0.1,64,0.9656147732585321,0.6574903403224266,0.5806451612903226,0.01
20,2,0.1,64,0.9782199625993455,0.784583449576446,0.6989247311827957,0.001
20,2,0.1,64,0.951776531089294,0.5930643642626876,0.5161290322580645,0.0001
20,2,0.1,128,0.973042309490416,0.672044629507789,0.6666666666666666,0.1
20,2,0.1,128,0.9697814399251987,0.6899908422721024,0.6236559139784946,0.01
20,2,0.1,128,0.9741935483870968,0.7839337990247233,0.7311827956989246,0.001
20,2,0.1,128,0.9870733987844788,0.8237762389462765,0.7634408602150536,0.0001
20,2,0.1,256,0.9672043010752689,0.8077911965363058,0.7849462365591398,0.1
20,2,0.1,256,0.9696411874707807,0.6747552318899253,0.5913978494623656,0.01
20,2,0.1,256,0.9864656381486676,0.8229255819367821,0.7311827956989246,0.001
20,2,0.1,256,0.9860448807854137,0.8163608431112981,0.7419354838709677,0.0001
20,2,0.1,512,0.8301484338475924,0.5759617091075787,0.5161290322580645,0.1
20,2,0.1,512,0.9675374006545114,0.6537076268579098,0.5483870967741935,0.01
20,2,0.1,512,0.9673971482000935,0.6062191535758953,0.5806451612903226,0.001
20,2,0.1,512,0.9851799906498364,0.8123413803700158,0.7419354838709677,0.0001
5,4,0.1,64,0.9730539971949509,0.6969826756357332,0.6129032258064516,0.1
5,4,0.1,64,0.9624064983637213,0.7036848724832824,0.6774193548387096,0.01
5,4,0.1,64,0.984356007480131,0.7883657705833935,0.6774193548387096,0.001
5,4,0.1,64,0.9696470313230481,0.6728166739772421,0.6021505376344086,0.0001
5,4,0.1,128,0.9479079008882656,0.6557091531765178,0.6021505376344086,0.1
5,4,0.1,128,0.9632655446470313,0.6374928550202122,0.6344086021505376,0.01
5,4,0.1,128,0.9792075736325385,0.7611770139359535,0.6774193548387096,0.001
5,4,0.1,128,0.9849812996727443,0.8129291556894237,0.7204301075268817,0.0001
5,4,0.1,256,0.8727910238429172,0.6427240493852178,0.6451612903225806,0.1
5,4,0.1,256,0.9716982234689107,0.7038736057906918,0.6451612903225806,0.01
5,4,0.1,256,0.9792367928938757,0.8151603683602865,0.7634408602150536,0.001
5,4,0.1,256,0.9852208976157083,0.8121820478208089,0.7419354838709677,0.0001
5,4,0.1,512,0.9738253856942497,0.6866466040115513,0.6344086021505376,0.1
5,4,0.1,512,0.9682445067788686,0.7422983418029473,0.6774193548387096,0.01
5,4,0.1,512,0.9679406264609631,0.6747830192935529,0.6236559139784946,0.001
5,4,0.1,512,0.9848176718092567,0.8098540287736987,0.7419354838709677,0.0001
10,4,0.1,64,0.985513090229079,0.8197977426504081,0.7526881720430108,0.1
10,4,0.1,64,0.9736559139784946,0.723248958337742,0.6881720430107527,0.01
10,4,0.1,64,0.9702021972884526,0.6971585069945199,0.6666666666666666,0.001
10,4,0.1,64,0.9666900420757363,0.6307387849220315,0.5591397849462365,0.0001
10,4,0.1,128,0.3467332865825153,0.2779100267165594,0.26881720430107525,0.1
10,4,0.1,128,0.9634057971014492,0.7251067859833712,0.6774193548387096,0.01
10,4,0.1,128,0.9764317438055166,0.7209824373773962,0.6666666666666666,0.001
