k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.06539682539682538,0.12729823776668728,0.0,0.1
5,2,0.1,32,0.3238095238095238,0.16210464917284045,0.06666666666666667,0.01
5,2,0.1,32,0.367936507936508,0.1731718125235437,0.03333333333333333,0.001
5,2,0.1,32,0.16984126984126985,0.13753748626617743,0.0,0.0001
5,2,0.1,64,0.059682539682539684,0.1265055903667664,0.0,0.1
5,2,0.1,64,0.3717460317460317,0.17441239233261047,0.10000000000000002,0.01
5,2,0.1,64,0.3107936507936508,0.16038462774499518,0.03333333333333333,0.001
5,2,0.1,64,0.1746031746031746,0.13808099933506798,0.0,0.0001
5,2,0.1,128,0.12095238095238095,0.13211535298832972,0.0,0.1
5,2,0.1,128,0.3482539682539682,0.17052947919540637,0.10000000000000002,0.01
5,2,0.1,128,0.25523809523809526,0.14918973747979214,0.03333333333333333,0.001
5,2,0.1,128,0.1895238095238095,0.13995357962322416,0.0,0.0001
5,2,0.1,256,0.1295238095238095,0.13306607852652247,0.0,0.1
5,2,0.1,256,0.3638095238095238,0.17260563415341248,0.06666666666666667,0.01
5,2,0.1,256,0.12031746031746032,0.13209303747037907,0.0,0.001
5,2,0.1,256,0.16793650793650794,0.13743031007863482,0.0,0.0001
10,2,0.1,32,0.646031746031746,0.28284122755203545,0.23333333333333334,0.1
10,2,0.1,32,0.2517460317460317,0.14851458677804646,0.03333333333333333,0.01
10,2,0.1,32,0.33015873015873015,0.16489812552693237,0.03333333333333333,0.001
10,2,0.1,32,0.17111111111111113,0.13760069777294218,0.0,0.0001
10,2,0.1,64,0.386031746031746,0.17552399353395362,0.06666666666666667,0.1
10,2,0.1,64,0.2895238095238095,0.15838239821621186,0.10000000000000002,0.01
10,2,0.1,64,0.30063492063492064,0.15848947037328584,0.06666666666666667,0.001
10,2,0.1,64,0.16571428571428573,0.13700808932757458,0.0,0.0001
10,2,0.1,128,0.1088888888888889,0.13085171591688008,0.0,0.1
10,2,0.1,128,0.35523809523809524,0.17186756845272763,0.06666666666666667,0.01
10,2,0.1,128,0.12349206349206349,0.13248375465412976,0.0,0.001
10,2,0.1,128,0.16920634920634922,0.13742416632661086,0.0,0.0001
10,2,0.1,256,0.1203174603174603,0.13202293921887837,0.0,0.1
10,2,0.1,256,0.3552380952380952,0.17347080936517484,0.10000000000000002,0.01
10,2,0.1,256,0.1457142857142857,0.13451563338084743,0.0,0.001
10,2,0.1,256,0.1603174603174603,0.13649047128222544,0.0,0.0001
15,2,0.1,32,0.7501587301587301,0.3567680694466714,0.4000000000000001,0.1
15,2,0.1,32,0.2146031746031746,0.1431036189119833,0.0,0.01
15,2,0.1,32,0.3244444444444444,0.16420738654501343,0.06666666666666667,0.001
15,2,0.1,32,0.16190476190476188,0.1364808407779411,0.0,0.0001
15,2,0.1,64,0.2961904761904762,0.15649230366844066,0.03333333333333333,0.1
15,2,0.1,64,0.2980952380952381,0.15838202946025218,0.06666666666666667,0.01
15,2,0.1,64,0.2580952380952381,0.15015810205262517,0.03333333333333333,0.001
15,2,0.1,64,0.16095238095238093,0.13650504288888138,0.0,0.0001
15,2,0.1,128,0.1219047619047619,0.13215183809858236,0.0,0.1
15,2,0.1,128,0.4419047619047619,0.1951044848173823,0.10000000000000002,0.01
15,2,0.1,128,0.12920634920634919,0.13287492108084692,0.0,0.001
