k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,32,0.45072462014415765,0.4798686423258948,0.4635108481262328,0.1
5,2,0.1,32,0.4428310402826684,0.4761006750546497,0.44970414201183434,0.01
5,2,0.1,32,0.48882919293490323,0.521096585807444,0.5009861932938856,0.001
5,2,0.1,32,0.4455576933160699,0.46958845052469056,0.46745562130177515,0.0001
5,2,0.1,64,0.3932874319849309,0.4426257849209563,0.42406311637080873,0.1
5,2,0.1,64,0.4467596794165931,0.4858821941330733,0.45956607495069035,0.01
5,2,0.1,64,0.45516551509944625,0.4902207721006774,0.47731755424063116,0.001
5,2,0.1,64,0.4161251678948706,0.459046305785516,0.4378698224852071,0.0001
5,2,0.1,128,0.4460013794605583,0.4597603664407291,0.47337278106508873,0.1
5,2,0.1,128,0.47922943817233576,0.5193393334772475,0.4792899408284023,0.01
5,2,0.1,128,0.40126974907531776,0.4475325945242579,0.4457593688362919,0.001
5,2,0.1,128,0.41880341880341876,0.46131094219825497,0.4378698224852071,0.0001
5,2,0.1,256,0.3714056380408433,0.43156917281699797,0.42406311637080873,0.1
5,2,0.1,256,0.45796073780972324,0.4861581597775542,0.4812623274161736,0.01
5,2,0.1,256,0.4692908685357954,0.47414155540480013,0.48717948717948717,0.001
5,2,0.1,256,0.4231596100402141,0.46401537540252064,0.4378698224852071,0.0001
10,2,0.1,32,0.4390072724192592,0.4535816190023344,0.4714003944773176,0.1
10,2,0.1,32,0.4582672846004606,0.4750745692322035,0.4832347140039448,0.01
10,2,0.1,32,0.5106787187957551,0.5386174688461272,0.534516765285996,0.001
10,2,0.1,32,0.4439079875606539,0.4655768108986943,0.46942800788954636,0.0001
10,2,0.1,64,0.4195092831241958,0.4542353984208784,0.4477317554240631,0.1
10,2,0.1,64,0.46999673285657245,0.49215257780375155,0.4792899408284023,0.01
10,2,0.1,64,0.47688193511695165,0.4941270795279954,0.48520710059171596,0.001
10,2,0.1,64,0.4207798389015944,0.461782625440855,0.4358974358974359,0.0001
10,2,0.1,128,0.410070868777806,0.44044652794402867,0.44970414201183434,0.1
10,2,0.1,128,0.4475986495807166,0.4787026243712641,0.46942800788954636,0.01
10,2,0.1,128,0.43775688419388276,0.47303274537800133,0.46942800788954636,0.001
10,2,0.1,128,0.4187711507201833,0.46123782180650774,0.43984220907297833,0.0001
10,2,0.1,256,0.4014754581059442,0.4544602818706469,0.42011834319526625,0.1
10,2,0.1,256,0.4540966348422696,0.4807966215831274,0.47534516765285995,0.01
10,2,0.1,256,0.48741746429334915,0.49460302383154525,0.5187376725838264,0.001
10,2,0.1,256,0.41988036608140433,0.4626464735009553,0.4437869822485207,0.0001
15,2,0.1,32,0.4764422824828677,0.505053219707922,0.47337278106508873,0.1
15,2,0.1,32,0.5002157928066375,0.5092233522310944,0.5187376725838264,0.01
15,2,0.1,32,0.5349685184512935,0.5494458827280663,0.5266272189349113,0.001
15,2,0.1,32,0.4667295894289759,0.47879331167954503,0.48717948717948717,0.0001
15,2,0.1,64,0.3825945959027601,0.4411051308725933,0.40433925049309666,0.1
